成分A,成分B,相互作用レベル,説明,出典,pmda_updated_at,interaction_id
L−バリン,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−バリン,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−バリン,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−バリン,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−バリン,SSRI,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
L−バリン,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
L−バリン,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−バリン,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−バリン,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−バリン,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−バリン,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−バリン,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,L−ヒスチジン,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,L−ヒスチジン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,SSRI,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ヒスチジン,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,L−フェニルアラニン,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,L−フェニルアラニン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,SSRI,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−フェニルアラニン,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リシン,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リシン,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−リシン,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−リシン,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,L−リシン,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,L−リシン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リシン,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−リシン,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リシン,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リシン,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リシン,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−リシン,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リシン,SSRI,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
L−リシン,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
L−リシン,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リシン,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リシン,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リシン,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リシン,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リシン,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リジン,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リジン,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−リジン,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−リジン,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,L−リジン,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,L−リジン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リジン,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−リジン,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リジン,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リジン,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リジン,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−リジン,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リジン,SSRI,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
L−リジン,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
L−リジン,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リジン,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リジン,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リジン,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リジン,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−リジン,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,L−ロイシン,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,L−ロイシン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,SSRI,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
L−ロイシン,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−ロイシン,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−α−トコフェロールコハク酸エステル,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−α−トコフェロールコハク酸エステル,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−α−トコフェロールコハク酸エステル,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−α−トコフェロールコハク酸エステル,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,dl−α−トコフェロールコハク酸エステル,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,dl−α−トコフェロールコハク酸エステル,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−α−トコフェロールコハク酸エステル,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−α−トコフェロールコハク酸エステル,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−α−トコフェロールコハク酸エステル,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−α−トコフェロールコハク酸エステル,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−α−トコフェロールコハク酸エステル,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−α−トコフェロールコハク酸エステル,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,dl−α−トコフェロールコハク酸エステル,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,dl−α−トコフェロールコハク酸エステル,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
dl−α−トコフェロールコハク酸エステル,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−α−トコフェロールコハク酸エステル,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−α−トコフェロールコハク酸エステル,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−α−トコフェロールコハク酸エステル,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−α−トコフェロールコハク酸エステル,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−α−トコフェロールコハク酸エステル,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−カンフル,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−カンフル,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−カンフル,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−カンフル,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,dl−カンフル,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,dl−カンフル,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−カンフル,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−カンフル,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−カンフル,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−カンフル,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−カンフル,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−カンフル,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,dl−カンフル,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,dl−カンフル,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
dl−カンフル,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−カンフル,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−カンフル,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−カンフル,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−カンフル,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−カンフル,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−クロルフェニラミン,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−クロルフェニラミン,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−クロルフェニラミン,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−クロルフェニラミン,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,dl−クロルフェニラミン,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,dl−クロルフェニラミン,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
dl−クロルフェニラミン,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−クロルフェニラミン,シクロスポリン,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
dl−クロルフェニラミン,フェニトイン,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
dl−クロルフェニラミン,カルバマゼピン,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
dl−クロルフェニラミン,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−クロルフェニラミン,インスリン,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
SSRI,dl−クロルフェニラミン,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,dl−クロルフェニラミン,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
dl−クロルフェニラミン,ベンゾジアゼピン系,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
dl−クロルフェニラミン,降圧薬,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
dl−クロルフェニラミン,クマリン系抗凝血薬,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
dl−クロルフェニラミン,タクロリムス,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
dl−クロルフェニラミン,シクロホスファミド,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
dl−クロルフェニラミン,フルコナゾール,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリン,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリン,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリン,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリン,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,dl−メチルエフェドリン,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,dl−メチルエフェドリン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリン,テオフィリン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリン,シクロスポリン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリン,フェニトイン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリン,カルバマゼピン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリン,ジゴキシン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリン,インスリン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
SSRI,dl−メチルエフェドリン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,dl−メチルエフェドリン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリン,ベンゾジアゼピン系,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリン,降圧薬,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリン,クマリン系抗凝血薬,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリン,タクロリムス,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリン,シクロホスファミド,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリン,フルコナゾール,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリンサッカリン塩,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリンサッカリン塩,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリンサッカリン塩,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリンサッカリン塩,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,dl−メチルエフェドリンサッカリン塩,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,dl−メチルエフェドリンサッカリン塩,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリンサッカリン塩,テオフィリン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリンサッカリン塩,シクロスポリン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリンサッカリン塩,フェニトイン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリンサッカリン塩,カルバマゼピン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリンサッカリン塩,インスリン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
SSRI,dl−メチルエフェドリンサッカリン塩,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリンサッカリン塩,ベンゾジアゼピン系,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリンサッカリン塩,降圧薬,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリンサッカリン塩,クマリン系抗凝血薬,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリンサッカリン塩,タクロリムス,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリンサッカリン塩,シクロホスファミド,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メチルエフェドリンサッカリン塩,フルコナゾール,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−メントール,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−メントール,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−メントール,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−メントール,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,dl−メントール,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,dl−メントール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−メントール,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−メントール,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−メントール,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−メントール,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−メントール,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−メントール,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,dl−メントール,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,dl−メントール,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
dl−メントール,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−メントール,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−メントール,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−メントール,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−メントール,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−メントール,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−塩酸メチルエフェドリン,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
dl−塩酸メチルエフェドリン,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−塩酸メチルエフェドリン,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
dl−塩酸メチルエフェドリン,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,dl−塩酸メチルエフェドリン,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,dl−塩酸メチルエフェドリン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−塩酸メチルエフェドリン,テオフィリン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−塩酸メチルエフェドリン,シクロスポリン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−塩酸メチルエフェドリン,フェニトイン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−塩酸メチルエフェドリン,カルバマゼピン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−塩酸メチルエフェドリン,インスリン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
SSRI,dl−塩酸メチルエフェドリン,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−塩酸メチルエフェドリン,ベンゾジアゼピン系,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−塩酸メチルエフェドリン,降圧薬,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−塩酸メチルエフェドリン,クマリン系抗凝血薬,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−塩酸メチルエフェドリン,タクロリムス,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−塩酸メチルエフェドリン,シクロホスファミド,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
dl−塩酸メチルエフェドリン,フルコナゾール,中,動悸・不眠・血圧上昇の増強,PMDA catalog pair expansion (review recommended),,
d−α−トコフェロール,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−α−トコフェロール,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
d−α−トコフェロール,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
d−α−トコフェロール,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
