製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件
ロキソプロフェンLテープ,中央製薬,第2類,外用薬(皮膚),手の痛み・手首の痛み,"表面のライナー(フィルム)をはがし、1日1回患部に貼付してください
15歳未満の小児は使用しないでください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.本剤は、痛みやはれ等の原因になっている病気を治療するのではなく、痛みやはれ等の症状のみを治療する薬剤なので、症状がある場合だけ使用してください
3.1日あたり2枚を超えて使用しないでください
4.汗をかいたり、患部がぬれている時は、よく拭き取ってから使用してください
5.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください",15,ロキソプロフェンナトリウム水和物,禁止物質なし,,
ロキソプロフェンRテープ,中央製薬,第2類,外用薬(皮膚),手の痛み・手首の痛み,"表面のライナー(フィルム)をはがし、1日1回患部に貼付してください
15歳未満の小児は使用しないでください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.本剤は、痛みやはれ等の原因になっている病気を治療するのではなく、痛みやはれ等の症状のみを治療する薬剤なので、症状がある場合だけ使用してください
3.1日あたり4枚を超えて使用しないでください
4.汗をかいたり、患部がぬれている時は、よく拭き取ってから使用してください
5.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください",15,ロキソプロフェンナトリウム水和物,禁止物質なし,,
ロキソプロフェンテープEX大判(NAGAWA),ナガワ薬品,第2類,外用薬(皮膚),手の痛み・手首の痛み,"表面のライナー(フィルム)をはがし、1日1回患部に貼付してください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.本剤は、痛みやはれ等の原因になっている病気を治療するのではなく、痛みやはれ等の症状のみを治療する薬剤なので、症状がある場合だけ使用してください
3.1日あたり2枚を超えて使用しないでください
4.汗をかいたり、患部がぬれている時は、よく拭きとってから使用してください
5.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください",,ロキソプロフェンナトリウム水和物,禁止物質なし,,
カルテパハイパップ,帝國製薬,第2類,外用薬(皮膚),手の痛み・手首の痛み,"11歳以上:プラスチックフィルムをはがし、1日2回を限度として患部に貼付してください
11歳未満:使用しないでください
<用法及び用量に関連する注意>
1.用法及び用量を守ってください
2.11歳以上15歳未満の小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.本剤は、痛みやはれ等の原因になっている病気を治療するのではなく、痛みやはれ等の症状のみを治療する薬剤ですので、症状がある場合だけ使用してください
4.汗をかいたり、患部がぬれている時は、よく拭きとってから使用してください
5.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
6.連続して2週間以上使用しないでください",11,インドメタシン,禁止物質なし,,
ボランテゲル1%,東光薬品工業,第2類,外用薬(皮膚),手の痛み・手首の痛み,"1日4回を限度として適量を患部に塗擦してください
<用法・用量に関連する注意>
1.11歳以上の小児に使用させる場合には、保護者の指導監督のもとに使用させてください
2.11歳未満の小児には使用させないでください
3.目に入らないよう注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗ってくださいなお、症状が重い場合には、眼科医の診療を受けてください
4.外用にのみ使用してください
5.1週間当たり50gを超えて使用しないでください
6.薬剤塗擦後の患部をラップフィルムなどの通気性の悪いもので覆わないでください
7.定められた用法・用量をお守りください",11,"インドメタシン
l−メントール",禁止物質なし,,
アンメルシン1%ヨコヨコ,小林製薬,第2類,外用薬(皮膚),手の痛み・手首の痛み,"1日4回を限度として患部に適量塗布してください
<用法・用量に関連する注意>
1.11歳以上の小児に使用させる場合には、保護者の指導監督のもとに使用させること
2.目に入らないように注意すること万一、目に入った場合には、すぐに水又はぬるま湯で洗うことなお、症状が重い場合には、眼科医の診療を受けること
3.外用にのみ使用すること
4.1週間あたり50mLを超えて使用しないこと
塗布部位をラップフィルム等の通気性の悪いもので覆わないこと
皮ふの特に弱い人は、同じ所に続けて使用しないこと
同じ部位に他の外用剤を併用しないこと",,"インドメタシン
l−メントール",禁止物質なし,,
タムチンキP,小林製薬,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"1日1回、患部に適量を塗布してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないこと
2.目に入らないように注意すること万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けること
3.小児に使用させる場合には、保護者の指導監督のもとに使用させること
4.外用にのみ使用すること",,"オキシコナゾール硝酸塩
グリチルレチン酸
リドカイン
l−メントール",禁止物質なし,,
ラマストンクリーム,佐藤製薬,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"患部を清潔にして1日2~3回、適量を塗布又は塗擦してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください",,シクロピロクスオラミン,禁止物質なし,,
ラマストン液,佐藤製薬,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"患部を清潔にして1日2~3回、適量を塗布又は塗擦してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください",,シクロピロクスオラミン,禁止物質なし,,
小林タムシチンキb,小林製薬,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"1日数回患部に適量を塗布してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないこと
2.目に入らないように注意すること万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けること
3.小児に使用させる場合には、保護者の指導監督のもとに使用させること
4.外用にのみ使用すること",,"イソプロピルメチルフェノール
クロルフェニラミンマレイン酸塩
サリチル酸
ミコナゾール硝酸塩
リドカイン
dl−カンフル",禁止物質なし,,
ニュータムシチンキゴールドa,小林製薬,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"1日1回、適量を患部に塗布してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないこと
2.目に入らないように注意すること万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けること
3.小児に使用させる場合には、保護者の指導監督のもとに使用させること
4.外用にのみ使用すること",,"オキシコナゾール硝酸塩
クロタミトン
グリチルレチン酸
リドカイン
l−メントール",禁止物質なし,,
コザックコートW,全薬工業,第2類,外用薬(皮膚),みずむし、ぜにたむし、いんきんたむし,"1日1~2回、適量を患部に塗布してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください",,"イソプロピルメチルフェノール
クロタミトン
グリチルレチン酸
ジブカイン塩酸塩
トルナフタート",禁止物質なし,,
コザックコートWクリーム,全薬工業,第2類,外用薬(皮膚),みずむし、ぜにたむし、いんきんたむし,"1日1~2回、適量を患部に塗布してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください",,"イソプロピルメチルフェノール
クロタミトン
グリチルレチン酸
ジブカイン塩酸塩
トルナフタート",禁止物質なし,,
コザックガード,全薬工業,第2類,外用薬(皮膚),みずむし、ぜにたむし、いんきんたむし,"1日1~4回、適量を患部に塗布してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください",,"グリチルレチン酸
ジブカイン塩酸塩
トルナフタート
フタル酸ジエチル",禁止物質なし,,
コザックガードクリーム,全薬工業,第2類,外用薬(皮膚),みずむし、ぜにたむし、いんきんたむし,"1日1~4回、適量を患部に塗布してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください",,"グリチルレチン酸
ジブカイン塩酸塩
トルナフタート
フタル酸ジエチル",禁止物質なし,,
コザックガード軟膏,全薬工業,第2類,外用薬(皮膚),みずむし、ぜにたむし、いんきんたむし,"1日1~2回、適量を患部に塗布してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください",,"グリチルレチン酸
ジブカイン塩酸塩
トルナフタート
フタル酸ジエチル",禁止物質なし,,
ダマリンL,大正製薬,第2類,外用薬(皮膚),水虫、いんきんたむし、ぜにたむし,"1日1回、適量を患部に塗布してください
<注意>
1.定められた用法・用量を厳守してください
2.患部やその周囲が汚れたまま使用しないでください
3.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
4.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
5.外用にのみ使用してください",,"クロタミトン
グリチルリチン酸二カリウム
ミコナゾール硝酸塩
リドカイン
尿素",禁止物質なし,,
ダマリンL液,大正製薬,第2類,外用薬(皮膚),水虫、いんきんたむし、ぜにたむし,"1日1回、適量を患部に塗布してください
<注意>
1.定められた用法・用量を厳守してください
2.患部やその周囲が汚れたまま使用しないでください
3.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
4.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
5.外用にのみ使用してください",,"クロタミトン
グリチルリチン酸二カリウム
ミコナゾール硝酸塩
リドカイン
l−メントール",禁止物質なし,,
ダマリンS,大正製薬,第2類,外用薬(皮膚),水虫、いんきんたむし、ぜにたむし,"1日1回、適量を患部に塗布してください
<注意>
1.定められた用法・用量を厳守してください
2.患部やその周囲が汚れたまま使用しないでください
3.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
4.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
5.外用にのみ使用してください",,"クロタミトン
グリチルリチン酸二カリウム
ミコナゾール硝酸塩
リドカイン
尿素",禁止物質なし,,
ダマリンS液,大正製薬,第2類,外用薬(皮膚),水虫、いんきんたむし、ぜにたむし,"1日1回、適量を患部に塗布してください
<注意>
1.定められた用法・用量を厳守してください
2.患部やその周囲が汚れたまま使用しないでください
3.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
4.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
5.外用にのみ使用してください",,"クロタミトン
グリチルリチン酸二カリウム
ミコナゾール硝酸塩
リドカイン
l−メントール",禁止物質なし,,
アスターG軟膏,丹平製薬,第2類,外用薬(皮膚),"いんきんたむし、みずむし、ぜにたむし
陰のう部の疾患には本剤は使用できませんので医師、薬剤師又は登録販売者に相談してください","1日数回患部に塗布してください
患部に水疱ができているようなときは、無理につぶさず、水疱の上から塗布しても充分効果が得られます
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください",,"イソプロピルメチルフェノール
グリチルレチン酸
ジフェンヒドラミン塩酸塩
トルナフタート
リドカイン
酸化亜鉛
l−メントール",禁止物質なし,,
アスター軟膏,丹平製薬,第2類,外用薬(皮膚),"いんきんたむし、みずむし、ぜにたむし、しらくも
陰のう部の疾患には本剤は使用できませんので医師、薬剤師又は登録販売者に相談してください","1日数回患部によくすりこんでください
患部に水疱ができているようなときは、無理につぶさず、水疱の上から塗布しても充分効果が得られます
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください",,"イオウ
イソプロピルメチルフェノール
ジフェンヒドラミン塩酸塩
ジブカイン塩酸塩
チアントール
酸化亜鉛
l−メントール",禁止物質なし,,
アスター軟膏a,丹平製薬,第2類,外用薬(皮膚),"いんきんたむし、みずむし、ぜにたむし
陰のう部の疾患には本剤は使用できませんので医師、薬剤師又は登録販売者に相談してください","1日数回患部によくすりこんでください
患部に水疱ができているようなときは、無理につぶさず、水疱の上から塗布しても充分効果が得られます
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください",,"イオウ
イソプロピルメチルフェノール
ジフェンヒドラミン塩酸塩
ジブカイン塩酸塩
酸化亜鉛
l−メントール",禁止物質なし,,
ピロエースWクリーム,東興薬品工業,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"1日2~3回、適量を患部に塗布してください
<使用法に関連する注意>
1.使用法を厳守してください
2.患部やその周囲が汚れたまま使用しないでください
3.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
4.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
5.外用にのみ使用してください
患部をよく洗ってから薬剤を塗布してください患部の汚れをとると同時に皮膚をやわらかくして薬剤の浸透を助けますこの意味から入浴後の治療は効果的ですみずむし・たむしは再発しやすい病気ですから、自覚症状がなくなってからもしばらくの間は治療を続けることが大切です",,"クロタミトン
クロトリマゾール
ピロールニトリン",禁止物質なし,,
デシコートun液,東興薬品工業,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"1日1回、適量を患部に塗布してください
<用法・用量に関する注意>
1.皮膚が敏感な方は、腕の内側などの柔らかいところに少量つけて、翌日異常がないことを確かめてから使用してください
2.患部やその周囲が汚れたまま使用しないでください
3.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
4.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
5.外用にのみ使用してください",,"クロタミトン
グリチルレチン酸
ビホナゾール
リドカイン
l−メントール",禁止物質なし,,
デシコートunクリーム,東興薬品工業,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"1日1回、適量を患部に塗布してください
<用法・用量に関する注意>
1.皮膚が敏感な方は、腕の内側などの柔らかいところに少量つけて、翌日異常がないことを確かめてから使用してください
2.患部やその周囲が汚れたまま使用しないでください
3.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
4.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
5.外用にのみ使用してください",,"クロタミトン
グリチルレチン酸
ビホナゾール
リドカイン
l−メントール",禁止物質なし,,
タロン,常盤薬品工業,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"1日1~3回、患部に塗布してください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.患部やその周囲が汚れたまま使用しないでください
3.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
4.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
5.本剤は外用にのみ使用し、内服しないでください
6.使用時には、床や家具などに付着しないように、ご注意くださいまた、塗布後は、完全に乾くまで歩行などはおさけください",,"ウンデシレン酸
サリチル酸
ヒノキチオール
フェノール",禁止物質なし,,
アスレットLXクリーム,新生薬品,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"患部を清潔にして、1日1回、適量を患部に塗布してください
<用法・用量に関連する注意>
1.定められた用法、用量を厳守してください
2.患部やその周囲が汚れたまま使用しないでください
3.目に入らないようにご注意ください万一目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
4.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
5.外用にのみ使用してください",,"クロタミトン
グリチルレチン酸
ビホナゾール
リドカイン
l−メントール",禁止物質なし,,
アスレットLX液,新生薬品,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"患部を清潔にして、1日1回、適量を患部に塗布してください
<用法・用量に関連する注意>
1.定められた用法、用量を厳守してください
2.患部やその周囲が汚れたまま使用しないでください
3.目に入らないようにご注意ください万一目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
4.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
5.外用にのみ使用してください",,"クロタミトン
グリチルレチン酸
ビホナゾール
リドカイン
l−メントール",禁止物質なし,,
ピロエースW軟膏,テイカ製薬,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"1日2~3回、適量を患部に塗布してください
<使用法に関連する注意>
1.使用法を厳守してください
2.患部やその周囲が汚れたまま使用しないでください
3.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
4.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
5.外用にのみ使用してください
患部をよく洗ってから薬剤を塗布してください患部の汚れをとると同時に皮膚をやわらかくして薬剤の浸透を助けますこの意味から入浴後の治療は効果的ですみずむし・たむしは再発しやすい病気ですから、自覚症状がなくなってからもしばらくの間は治療を続けることが大切です",,"クロタミトン
クロトリマゾール
ピロールニトリン",禁止物質なし,,
ピロエースW液,新生薬品,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"1日2~3回、適量を患部に塗布してください
<使用法に関連する注意>
1.使用法を厳守してください
2.患部やその周囲が汚れたまま使用しないでください
3.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
4.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
5.外用にのみ使用してください
患部をよく洗ってから薬剤を塗布してください患部の汚れをとると同時に皮膚をやわらかくして薬剤の浸透を助けますこの意味から入浴後の治療は効果的ですみずむし・たむしは再発しやすい病気ですから、自覚症状がなくなってからもしばらくの間は治療を続けることが大切です",,"クロタミトン
クロトリマゾール
ピロールニトリン
l−メントール",禁止物質なし,,
アネイクEX液,前田薬品工業,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"患部を清潔にして1日1回、適量を患部に塗布してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください",,"クロタミトン
グリチルレチン酸
ビホナゾール
リドカイン
l−メントール",禁止物質なし,,
アネイクEXクリーム,前田薬品工業,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"患部を清潔にして1日1回、適量を患部に塗布してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください",,"クロタミトン
グリチルレチン酸
ビホナゾール
リドカイン
l−メントール",禁止物質なし,,
ゼルスEXクリーム,前田薬品工業,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"患部を清潔にして1日1回、適量を患部に塗布してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください",,"クロタミトン
グリチルレチン酸
ビホナゾール
リドカイン
l−メントール",禁止物質なし,,
ドキンピ水虫液,松浦薬業,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"清潔にした患部に適量を1日1~2回塗布する
ご使用の際は、容器の口を患部に近づけ指で容器を軽く圧しますと液が滴下され、自然に患部に広がります
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください
5.本剤はアルコールを含んでいますのでしみることがあります
6.いんきんたむしに使用する場合には、皮膚に対する刺激が強いので、極く少量ずつ塗布してください
7.皮膚の弱い人は、入浴直後にお使いになると、しみて痛みを感じることがありますこのような人は、入浴30~60分後に塗布されたり、量を減らすか、又は脱脂綿にふくませて軽くたたくようにしてつけるなど、お肌に合わせてお使いください",,"サリチル酸
安息香酸
木槿皮エタノール抽出液",禁止物質なし,,
ドキンピ水虫液,松浦薬業,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"清潔にした患部に適量を1日1~2回塗布してください
ご使用の際は、容器の口を患部に近づけ指で容器を軽く圧しますと液が滴下され、自然に患部に広がります
<用法及び用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください
5.いんきんたむしの場合には皮膚に対する刺激が強いので、極く少量ずつ塗布してください
6.皮膚の弱い人は入浴直後にお使いになると、しみて痛みを感ずることもありますので、このような方は入浴30~60分後に塗布するか、量を減らすか、又は脱脂綿にふくませて軽くたたくようにしてつけるなど、お肌に合わせてお使いください
7.本剤はアルコールを含んでいますのでしみることがあります
水虫やたむし類は、白癬菌の寄生によって起こる皮膚の疾患です
白癬菌による皮膚疾患は完治に時間がかかります
また再発しやすいので、常に患部を清潔にするよう心がけ、適時薬物療法を行って病原菌の活動を抑制し、治るまで根気よく治療を続けることが肝心です",,"サリチル酸
安息香酸
木槿皮エタノール抽出液",禁止物質なし,,
ドキンピ水虫液,松浦薬業,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"清潔にした患部に適量を1日1~2回塗布してください
ご使用の際は、容器の口を患部に近づけ指で容器を軽く圧しますと液が滴下され、自然に患部に広がります
<用法及び用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください
5.いんきんたむしの場合には皮膚に対する刺激が強いので、極く少量ずつ塗布してください
6.皮膚の弱い人は入浴直後にお使いになると、しみて痛みを感ずることもありますので、このような方は入浴30~60分後に塗布するか、量を減らすか、又は脱脂綿にふくませて軽くたたくようにしてつけるなど、お肌に合わせてお使いください
7.本剤はアルコールを含んでいますのでしみることがあります",,"サリチル酸
安息香酸
木槿皮エタノール抽出液",禁止物質なし,,
ハイ・シャロン(複方土槿皮酊),八ツ目製薬,第2類,外用薬(皮膚),水虫、いんきんたむし、ぜにたむし,"患部をよく清浄した後、1日2回塗布してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用のみ使用し、内服や眼科用としては使用しないでください
5.皮膚が敏感な人は、腕の内側などの柔らかいところに少量つけて、翌日異常がないことを確かめてから使用してください",,"サリチル酸
安息香酸
木槿皮チンキ",禁止物質なし,,
ハイ・シャロン,八ツ目製薬,第2類,外用薬(皮膚),水虫、いんきんたむし、ぜにたむし,"患部をよく清浄した後、1日2回塗布してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用のみ使用し、内服や眼科用としては使用しないでください
5.皮膚が敏感な人は、腕の内側などの柔らかいところに少量つけて、翌日異常がないことを確かめてから使用してください",,"サリチル酸
安息香酸
木槿皮チンキ",禁止物質なし,,
雪の元キンピ液,雪の元本店,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"1日数回、適量を患部に塗布してください
<用法及び用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください",,"クロタミトン
サリチル酸
安息香酸
木槿皮チンキ",禁止物質なし,,
アフテイト水虫クリーム,雪の元本店,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"患部を清潔にして、1日1回適量を患部に塗布してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください
5.定められた用法、用量を厳守してください",,"クロタミトン
グリチルレチン酸
ビホナゾール
リドカイン
l−メントール",禁止物質なし,,
アフテイト水虫液,雪の元本店,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"患部を清潔にして、1日1回適量を患部に塗布してください
<用法・用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください
5.定められた用法、用量を厳守してください",,"クロタミトン
グリチルレチン酸
ビホナゾール
リドカイン
l−メントール",禁止物質なし,,
モーテンキンピ液,雪の元本店,第2類,外用薬(皮膚),みずむし、いんきんたむし、ぜにたむし,"1日数回、適量を患部に塗布してください
<用法及び用量に関連する注意>
1.患部やその周囲が汚れたまま使用しないでください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗い、直ちに眼科医の診療を受けてください
3.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
4.外用にのみ使用してください",,"クロタミトン
サリチル酸
安息香酸
木槿皮チンキ",禁止物質なし,,
