成分A,成分B,相互作用レベル,説明,出典,pmda_updated_at,interaction_id
アスピリン,エテンザミド,中,重篤な肝機能障害のある患者 2.4 重篤な腎機能障害のある患者 2.5 重篤な心機能不全のある患者 2.6 本剤の成分に対し過敏症の既往歴のある患者 2.7 アスピリン喘息(非ステロイド性消炎鎮痛剤等による喘息発作の誘発)又はその既往歴のある患者[喘息発作を誘発するおそれがある。] 3. 組成・性状 3.1 組成 エテンザミド「ヨシダ」 有効成分 1g 中 日局エテンザミド 1g&nbsp;&nbsp; 3.2 製剤の性状 エテンザミド「ヨシダ」 性状 白色の結晶又は結晶性,PMDA iyakuSearch,,
エテンザミド,クマリン系抗凝血薬,中,しながら慎重に投与すること。副作用があらわれやすい。 10. 相互作用 10.2 併用注意(併用に注意すること) 薬剤名等 臨床症状・措置方法 機序・危険因子 クマリン系抗凝血剤 ワルファリン クマリン系抗凝血剤(ワルファリン) の作用を増強するおそれがあるので、用量を調節するなど注意すること。 本剤は血漿蛋白に結合したクマリン系抗凝血剤と置換し、遊離させる。 リチウム製剤 血中リチウム濃度を上昇させ、リチウム中毒を起こすおそれがあるので血中のリチウム濃度に注意し、必要があれ,PMDA iyakuSearch,,
アスピリン,アリルイソプロピルアセチル尿素,中,"者には投与しないこと) 2.1 本剤、ピラゾロン系薬剤(スルピリン等)又はアミノフェノール系薬剤(アセトアミノフェン等)に対し過敏症の既往歴のある患者 2.2 アスピリン喘息(非ステロイド性消炎鎮痛剤等による喘息発作の誘発)又はその既往歴のある患者[喘息発作を誘発することがある。] 2.3 重篤な肝障害のある患者 , , , , , , 3. 組成・性状 3.1 組成 SG配合顆粒 1g中 有効成分 イソプロピルアンチピリン&nbsp;&nbsp; 150mg アセトアミノフ",PMDA iyakuSearch,,
フルコナゾール,無水カフェイン,高,質(エリスロマイシン、ジョサマイシン、クラリスロマイシン、ロキシスロマイシン)、アゾール系抗真菌薬(イトラコナゾール、ミコナゾール(経口剤、注射剤、口腔用剤)、フルコナゾール、ホスフルコナゾール、ボリコナゾール、ポサコナゾール)、レテルモビル、エンシトレルビル、レナカパビル、ロナファルニブ、セリチニブ、5-HT 1B/1D 受容体作動薬(スマトリプタン、ゾルミトリプタン、エレトリプタン、リザトリプタン、ナラトリプタン)、麦角アルカロイド(エルゴメトリン、メチルエルゴメトリン),PMDA iyakuSearch,,
ブロモバレリル尿素,ワーファリン,高,-遮断剤(アルプレノロール、プロプラノロール等) 呼吸抑制、低血圧及び顕著な鎮静又は昏睡が起こるおそれがある。 相加的に作用を増強させる。 クマリン系抗凝血剤(ワルファリン) クマリン系抗凝血剤の作用を増強することがあるので、減量するなど慎重に投与すること。 ジヒドロコデインリン酸塩が作用を増強させるが、その作用機序は不明である。 クマリン系抗凝血剤(ワルファリン) クマリン系抗凝血剤の作用を増強することがあるので、減量するなど慎重に投与すること。 アセトアミノフェンが血漿蛋,PMDA iyakuSearch,,
アスピリン,ブロモバレリル尿素,高,1.17 18歳未満の肥満、閉塞性睡眠時無呼吸症候群又は重篤な肺疾患を有する患者 投与しないこと。重篤な呼吸抑制のリスクが増加するおそれがある。 9.1.18 アスピリン喘息(非ステロイド性消炎鎮痛剤による喘息発作の誘発)又はその既往歴のある患者 アスピリン喘息の発症にプロスタグランジン合成阻害作用が関与していると考えられ、症状が悪化又は再発を促すおそれがある。 9.2 腎機能障害患者 9.2.1 腎機能障害又はその既往歴のある患者 投与量の減量、投与間隔の延長を考慮すること,PMDA iyakuSearch,,
テオフィリン,ブロモバレリル尿素,高,メチルエフェドリン塩酸塩による交感神経刺激作用が増強される。 甲状腺ホルモンがメチルエフェドリン塩酸塩の感受性を増大させると考えられている。 キサンチン系薬剤(テオフィリン、アミノフィリン、コリンテオフィリン、カフェイン等) 中枢神経興奮剤(マオウ等) 過度の中枢神経刺激作用があらわれることがある。 中枢神経刺激作用を増強させる。 11. 副作用 次の副作用があらわれることがあるので、観察を十分に行い、異常が認められた場合には投与を中止するなど適切な処置を行うこと。 11.1,PMDA iyakuSearch,,
クマリン系抗凝血薬,ブロモバレリル尿素,高,ラミン塩酸塩等) β-遮断剤(アルプレノロール、プロプラノロール等) 呼吸抑制、低血圧及び顕著な鎮静又は昏睡が起こるおそれがある。 相加的に作用を増強させる。 クマリン系抗凝血剤(ワルファリン) クマリン系抗凝血剤の作用を増強することがあるので、減量するなど慎重に投与すること。 ジヒドロコデインリン酸塩が作用を増強させるが、その作用機序は不明である。 クマリン系抗凝血剤(ワルファリン) クマリン系抗凝血剤の作用を増強することがあるので、減量するなど慎重に投与すること。 アセト,PMDA iyakuSearch,,
アスピリンアルミニウム,ワーファリン,高,"泄促進剤 プロベネシド ベンズブロマロン 尿酸排泄促進剤の尿酸排泄作用を減弱させる。 本剤が尿酸排泄促進剤の尿酸排泄に拮抗する。 抗凝固剤 クマリン系抗凝固剤 ワルファリンカリウム , クマリン系抗凝固剤の作用を増強し、出血時間の延長、消化管出血等を起こすことがあるので、クマリン系抗凝固剤を減量するなど、慎重に投与すること。 本剤は血漿蛋白に結合したクマリン系抗凝固剤と置換し、遊離させる。また、本剤は血小板凝集抑制作用、消化管刺激による出血作用を有する。 抗凝固剤 血液凝固阻",PMDA iyakuSearch,,
アスピリンアルミニウム,リチウム,中,ることがある。 本剤(高用量投与時)は血漿蛋白に結合したメトトレキサートと置換し、遊離させる。また、本剤はメトトレキサートの腎排泄を阻害すると考えられている。 リチウム製剤 血中リチウム濃度を上昇させ、リチウム中毒を起こすおそれがある。 本剤の腎におけるプロスタグランジン生合成抑制作用により、リチウムの腎排泄が減少し、血中濃度が上昇するためと考えられる。 チアジド系利尿剤 利尿・降圧作用を減弱するおそれがある。 本剤の腎におけるプロスタグランジン生合成抑制作用により、水・ナト,PMDA iyakuSearch,,
アスピリンアルミニウム,メトトレキサート,中,血糖降下作用をもつ。また、血漿蛋白と結合したスルホニル尿素系血糖降下剤(トルブタミド等)と置換し、遊離のスルホニル尿素系血糖降下剤が増加すると考えられている。 メトトレキサート メトトレキサートの副作用(骨髄抑制、肝・腎・消化管障害等)が増強されることがある。 本剤(高用量投与時)は血漿蛋白に結合したメトトレキサートと置換し、遊離させる。また、本剤はメトトレキサートの腎排泄を阻害すると考えられている。 リチウム製剤 血中リチウム濃度を上昇させ、リチウム中毒を起こすおそれがある,PMDA iyakuSearch,,
アスピリン,アスピリンアルミニウム,中,"うA81 承認番号等 承認番号 22100AMX01376000 販売開始年月 2009年9月 貯法・有効期間 貯法 室温保存 有効期間 3.5年 一般的名称 アスピリン/アルミニウム グリシネート/炭酸マグネシウム 2. 禁忌(次の患者には投与しないこと) 2.1 本剤及び本剤の成分又はサリチル酸系製剤に対し過敏症の既往歴のある患者 2.2 消化性潰瘍のある患者[胃出血の発現又は消化性潰瘍が悪化するおそれがある。] , 2.3 出血傾向のある患者[出血を増強するおそれがある",PMDA iyakuSearch,,
アスピリンアルミニウム,シクロスポリン,中,合成を抑制し、β-遮断剤の降圧作用に拮抗する。 ドネペジル塩酸塩 消化性潰瘍を起こすことがある。 コリン系が賦活され胃酸分泌が促進される。 タクロリムス水和物 シクロスポリン 腎障害が発現することがある。 腎障害の副作用が相互に増強されると考えられる。 ザフィルルカスト ザフィルルカストの血漿中濃度が上昇することがある。 機序は不明である。 プロスタグランジンD 2 、トロンボキサンA 2 受容体拮抗剤(セラトロダスト、ラマトロバン) ヒト血漿蛋白結合に対する相互作用の検討(,PMDA iyakuSearch,,
アスピリンアルミニウム,フェニトイン,中,バルプロ酸ナトリウム バルプロ酸ナトリウムの作用を増強し、振戦等を起こすことがある。 アスピリンは血漿蛋白に結合したバルプロ酸ナトリウムと置換し、遊離させる。 フェニトイン 総フェニトイン濃度を低下させるが、非結合型フェニトイン濃度を低下させないとの報告があるので、総フェニトイン濃度に基づいて増量する際には臨床症状等を慎重に観察すること。 本剤(高用量投与時)は血漿蛋白に結合したフェニトインと置換し、遊離させる。 アセタゾラミド アセタゾラミドの副作用を増強し、嗜眠、錯乱等の,PMDA iyakuSearch,,
SSRI,アスピリンアルミニウム,中,"薬剤の非結合型分率が上昇することがある。 これら薬剤が本剤と血漿蛋白結合部位で置換し、遊離型血中濃度が上昇すると考えられる。 選択的セロトニン再取り込み阻害剤(SSRI) フルボキサミンマレイン酸塩 塩酸セルトラリン等 , 皮膚の異常出血(斑状出血、紫斑等)、出血症状(胃腸出血等)が報告されている。 SSRIの投与により血小板凝集が阻害され、本剤との併用により出血傾向が増強すると考えられる。 アルコール , 消化管出血が増強されるおそれがある。 アルコールによる胃粘膜障害と本",PMDA iyakuSearch,,
アスピリンアルミニウム,クマリン系抗凝血薬,中,"序・危険因子 尿酸排泄促進剤 プロベネシド ベンズブロマロン 尿酸排泄促進剤の尿酸排泄作用を減弱させる。 本剤が尿酸排泄促進剤の尿酸排泄に拮抗する。 抗凝固剤 クマリン系抗凝固剤 ワルファリンカリウム , クマリン系抗凝固剤の作用を増強し、出血時間の延長、消化管出血等を起こすことがあるので、クマリン系抗凝固剤を減量するなど、慎重に投与すること。 本剤は血漿蛋白に結合したクマリン系抗凝固剤と置換し、遊離させる。また、本剤は血小板凝集抑制作用、消化管刺激による出血作用を有する。",PMDA iyakuSearch,,
アスピリンアルミニウム,タクロリムス,中,プロスタグランジン生合成を抑制し、β-遮断剤の降圧作用に拮抗する。 ドネペジル塩酸塩 消化性潰瘍を起こすことがある。 コリン系が賦活され胃酸分泌が促進される。 タクロリムス水和物 シクロスポリン 腎障害が発現することがある。 腎障害の副作用が相互に増強されると考えられる。 ザフィルルカスト ザフィルルカストの血漿中濃度が上昇することがある。 機序は不明である。 プロスタグランジンD 2 、トロンボキサンA 2 受容体拮抗剤(セラトロダスト、ラマトロバン) ヒト血漿蛋白結合に対,PMDA iyakuSearch,,
イソプロピルアンチピリン,フルコナゾール,高,質(エリスロマイシン、ジョサマイシン、クラリスロマイシン、ロキシスロマイシン)、アゾール系抗真菌薬(イトラコナゾール、ミコナゾール(経口剤、注射剤、口腔用剤)、フルコナゾール、ホスフルコナゾール、ボリコナゾール、ポサコナゾール)、レテルモビル、エンシトレルビル、レナカパビル、ロナファルニブ、セリチニブ、5-HT 1B/1D 受容体作動薬(スマトリプタン、ゾルミトリプタン、エレトリプタン、リザトリプタン、ナラトリプタン)、麦角アルカロイド(エルゴメトリン、メチルエルゴメトリン),PMDA iyakuSearch,,
サリチルアミド,ワーファリン,高,理機能が低下していることが多い。 10. 相互作用 10.2 併用注意(併用に注意すること) 薬剤名等 臨床症状・措置方法 機序・危険因子 クマリン系抗凝血剤 ワルファリン クマリン系抗凝血剤の作用が増強されることがあるので、減量するなど慎重に投与すること。 サリチル酸系製剤(アスピリン等)は血小板凝集抑制作用、消化管刺激による出血作用を有する。また、血漿蛋白に結合したクマリン系抗凝血剤と置換し、これらの薬剤を遊離させる。 糖尿病用剤 インスリン製剤 トルブタミド 糖尿病用剤,PMDA iyakuSearch,,
アスピリン,サリチルアミド,中,"害が発現するおそれがあることから、これらの薬剤との併用を避けること。 , , 2. 禁忌(次の患者には投与しないこと) 2.1 本剤の成分又はサリチル酸系製剤(アスピリン等)に対し過敏症の既往歴のある患者 2.2 消化性潰瘍の患者[消化性潰瘍が悪化するおそれがある。] 2.3 アスピリン喘息(非ステロイド性消炎鎮痛剤等による喘息発作の誘発)又はその既往歴のある患者[喘息発作を誘発するおそれがある。] , 2.4 閉塞隅角緑内障の患者[抗コリン作用により眼圧が上昇し、症状を悪化",PMDA iyakuSearch,,
インスリン,サリチルアミド,中,スピリン等)は血小板凝集抑制作用、消化管刺激による出血作用を有する。また、血漿蛋白に結合したクマリン系抗凝血剤と置換し、これらの薬剤を遊離させる。 糖尿病用剤 インスリン製剤 トルブタミド 糖尿病用剤の作用が増強されることがあるので、減量するなど慎重に投与すること。 サリチル酸系製剤(アスピリン等)は血漿蛋白に結合した糖尿病用剤と置換し、これらの薬剤を遊離させる。 中枢神経抑制剤 フェノチアジン誘導体 バルビツール酸誘導体等 相互に中枢神経抑制作用が増強されることがあるので、,PMDA iyakuSearch,,
クマリン系抗凝血薬,サリチルアミド,中,意すること。一般に生理機能が低下していることが多い。 10. 相互作用 10.2 併用注意(併用に注意すること) 薬剤名等 臨床症状・措置方法 機序・危険因子 クマリン系抗凝血剤 ワルファリン クマリン系抗凝血剤の作用が増強されることがあるので、減量するなど慎重に投与すること。 サリチル酸系製剤(アスピリン等)は血小板凝集抑制作用、消化管刺激による出血作用を有する。また、血漿蛋白に結合したクマリン系抗凝血剤と置換し、これらの薬剤を遊離させる。 糖尿病用剤 インスリン製剤 トル,PMDA iyakuSearch,,
カフェイン,テオフィリン,中,相互作用 10.2 併用注意(併用に注意すること) 薬剤名等 臨床症状・措置方法 機序・危険因子 他のキサンチン系薬剤 アミノフィリン水和物 ジプロフィリン テオフィリン等 中枢神経興奮薬 エフェドリン塩酸塩 マオウ等 過度の中枢神経刺激作用が現れることがある。 併用薬の代謝・排泄を遅延させることがある。 MAO阻害剤 セレギリン塩酸塩 ラサギリンメシル酸塩 サフィナミドメシル酸塩 頻脈、血圧上昇等が現れることがある。 機序は不明である。 シメチジン 過度の中枢神経刺激作用,PMDA iyakuSearch,,
ジゴキシン,ジフェンヒドラミン塩酸塩,高,すること。一般に生理機能が低下している。 10. 相互作用 10.1 併用禁忌(併用しないこと) 薬剤名等 臨床症状・措置方法 機序・危険因子 ジギタリス製剤 ジゴキシン (ジゴシン) 等 ジギタリス中毒を起こしやすい。 カルシウムがジギタリス製剤の作用を増強するおそれがある。 10.2 併用注意(併用に注意すること) 薬剤名等 臨床症状・措置方法 機序・危険因子 アルコール 中枢神経抑制作用が増強することがある。 このような場合には減量するなど慎重に投与すること。 相加的に,PMDA iyakuSearch,,
ジプロフィリン,テオフィリン,中,め、相互に作用を増強することがあるので、併用する場合は減量するなど慎重に投与すること。 本剤の解毒機構に干渉し、作用を遷延化し増強する。 他のキサンチン系薬剤 テオフィリン アミノフィリン水和物 コリンテオフィリン カフェイン水和物等 中枢神経興奮薬 エフェドリン塩酸塩 マオウ等 本剤はジプロフィリンを含有しているため、過度の中枢神経刺激作用があらわれることがある。 副作用の発現に注意し、異常が認められた場合には減量又は投与を中止するなど適切な処置を行うこと。 併用により中枢,PMDA iyakuSearch,,
ジゴキシン,リン酸水素カルシウム水和物,中,"活性型ビタミンD製剤 アルファカルシドール カルシトリオール ファレカルシトリオール等 , , 高カルシウム血症があらわれやすい。 相加作用 強心配糖体 メチルジゴキシン ジゴキシン ジギトキシン等 これらの作用を増強するおそれがある カルシウムは強心配糖体の心筋収縮力増強作用を強める。 11. 副作用 次の副作用があらわれることがあるので、観察を十分に行い、異常が認められた場合には投与を中止するなど適切な処置を行うこと。 11.1 重大な副作用 11.1.1 高カルシウム血",PMDA iyakuSearch,,
インスリン,ガンマ−オリザノール,中,"18) 。 18.3.3 ラットにストレスを負荷することにより生じる胃潰瘍及び消化管運動の亢進に対して抑制作用を示した 19) , 20) 。 18.3.4 インスリン及び2-デオキシ-D-グルコースで迷走神経を刺激することにより生じるラットの胃液分泌亢進に対して抑制作用を示した 21) 。 19. 有効成分に関する理化学的知見 一般的名称 ガンマオリザノール〔Gamma Oryzanol(JAN)〕 分子式 C 40 H 58 O 4 分子量 602.89 性状 白色~淡",PMDA iyakuSearch,,
コレカルシフェロール,ジゴキシン,中,ことがあるので、併用する場合には投与間隔をできる限りあけるなど慎重に投与すること。 消化管内でカルシウムと結合し吸収が抑制されると考えられている。 強心配糖体 ジゴキシン等 ジギタリス製剤の作用を増強し、ジギタリス中毒の症状(嘔気、嘔吐、不整脈等)があらわれるおそれがある。 本剤により高カルシウム血症が発現した場合、強心配糖体の作用が増強される。 ストロンチウム カルシウムにより効果が減弱するおそれがある。 ストロンチウムの骨転移部への集積に過剰なカルシウムが競合する。 ビタ,PMDA iyakuSearch,,
ロキソプロフェンナトリウム水和物,ワーファリン,高,ること。副作用があらわれやすい。 10. 相互作用 10.2 併用注意(併用に注意すること) 薬剤名等 臨床症状・措置方法 機序・危険因子 クマリン系抗凝血剤 ワルファリン 抗凝血作用を増強するおそれがあるので注意し、必要があれば減量すること。 本剤のプロスタグランジン生合成抑制作用により血小板凝集が抑制され血液凝固能が低下し、抗凝血作用に相加されるためと考えられている。 第Xa因子阻害剤 エドキサバントシル酸塩水和物等 出血の危険性を増大させるおそれがある。 抗血栓作用を増,PMDA iyakuSearch,,
リチウム,ロキソプロフェンナトリウム水和物,中,量すること。 機序は不明であるが、本剤の腎におけるプロスタグランジン生合成抑制作用により、これらの薬剤の腎排泄が減少し血中濃度が上昇するためと考えられている。 リチウム製剤 炭酸リチウム 血中リチウム濃度を上昇させ、リチウム中毒を起こすことがあるので血中のリチウム濃度に注意し、必要があれば減量すること。 機序は不明であるが、本剤の腎におけるプロスタグランジン生合成抑制作用により、これらの薬剤の腎排泄が減少し血中濃度が上昇するためと考えられている。 チアジド系利尿薬 ヒドロクロ,PMDA iyakuSearch,,
メトトレキサート,ロキソプロフェンナトリウム水和物,中,抗菌剤は、中枢神経系の抑制性神経伝達物質であるGABAの受容体への結合を阻害し、痙攣誘発作用を起こす。本剤の併用により阻害作用を増強するためと考えられている。 メトトレキサート 血中メトトレキサート濃度を上昇させ、作用を増強することがあるので、必要があれば減量すること。 機序は不明であるが、本剤の腎におけるプロスタグランジン生合成抑制作用により、これらの薬剤の腎排泄が減少し血中濃度が上昇するためと考えられている。 リチウム製剤 炭酸リチウム 血中リチウム濃度を上昇させ、リチウ,PMDA iyakuSearch,,
アスピリン,ロキソプロフェンナトリウム水和物,中,重篤な肝機能障害のある患者 2.4 重篤な腎機能障害のある患者 2.5 重篤な心機能不全のある患者 2.6 本剤の成分に対し過敏症の既往歴のある患者 2.7 アスピリン喘息(非ステロイド性消炎鎮痛剤等による喘息発作の誘発)又はその既往歴のある患者[アスピリン喘息発作を誘発することがある。] 2.8 妊娠後期の女性 3. 組成・性状 3.1 組成 ロキソニン錠60mg 有効成分 1錠中 ロキソプロフェンナトリウム水和物(日局)&nbsp;&nbsp; 68.1mg (無水物と,PMDA iyakuSearch,,
クマリン系抗凝血薬,ロキソプロフェンナトリウム水和物,中,しながら慎重に投与すること。副作用があらわれやすい。 10. 相互作用 10.2 併用注意(併用に注意すること) 薬剤名等 臨床症状・措置方法 機序・危険因子 クマリン系抗凝血剤 ワルファリン 抗凝血作用を増強するおそれがあるので注意し、必要があれば減量すること。 本剤のプロスタグランジン生合成抑制作用により血小板凝集が抑制され血液凝固能が低下し、抗凝血作用に相加されるためと考えられている。 第Xa因子阻害剤 エドキサバントシル酸塩水和物等 出血の危険性を増大させるおそれがあ,PMDA iyakuSearch,,
アスパラギン酸カリウム,シクロスポリン,高,抗剤 ロサルタンカリウム カンデサルタンシレキセチル バルサルタン等 非ステロイド性消炎鎮痛剤 インドメタシン等 β遮断剤 プロプラノロール メトプロロール等 シクロスポリン ヘパリン ジゴキシン * トルバプタン 高カリウム血症があらわれることがある。 定期的に血清カリウム値を観察し、異常が認められた場合には、本剤を減量するなど適切な処置を行う。 * カリウム保持性利尿剤はナトリウム、水の排泄を促進し、カリウムの排泄を抑制する。 アンジオテンシン変換酵素阻害剤、アンジオテン,PMDA iyakuSearch,,
アスパラギン酸カリウム,ジゴキシン,高,カンデサルタンシレキセチル バルサルタン等 非ステロイド性消炎鎮痛剤 インドメタシン等 β遮断剤 プロプラノロール メトプロロール等 シクロスポリン ヘパリン ジゴキシン * トルバプタン 高カリウム血症があらわれることがある。 定期的に血清カリウム値を観察し、異常が認められた場合には、本剤を減量するなど適切な処置を行う。 * カリウム保持性利尿剤はナトリウム、水の排泄を促進し、カリウムの排泄を抑制する。 アンジオテンシン変換酵素阻害剤、アンジオテンシンII受容体拮抗剤は、ア,PMDA iyakuSearch,,
アスパラギン酸カリウム,インスリン,高,TA001 4. 効能又は効果 下記疾患又は状態におけるカリウム補給(マグネシウム欠乏を合併している疑いのある場合) 降圧利尿剤、副腎皮質ホルモン、強心配糖体、インスリン、ある種の抗生物質などの連用時 低カリウム血症型周期性四肢麻痺 心疾患時の低カリウム状態 肝疾患時の低カリウム状態 重症嘔吐、下痢、カリウム摂取不足及び手術後 6. 用法及び用量 原則として、L-アスパラギン酸カリウムとして1日225~750mgを2~3回に分割経口投与する。 なお、年齢、症状により適宜増減す,PMDA iyakuSearch,,
マグネシウム,ワーファリン,高,"泄促進剤 プロベネシド ベンズブロマロン 尿酸排泄促進剤の尿酸排泄作用を減弱させる。 本剤が尿酸排泄促進剤の尿酸排泄に拮抗する。 抗凝固剤 クマリン系抗凝固剤 ワルファリンカリウム , クマリン系抗凝固剤の作用を増強し、出血時間の延長、消化管出血等を起こすことがあるので、クマリン系抗凝固剤を減量するなど、慎重に投与すること。 本剤は血漿蛋白に結合したクマリン系抗凝固剤と置換し、遊離させる。また、本剤は血小板凝集抑制作用、消化管刺激による出血作用を有する。 抗凝固剤 血液凝固阻",PMDA iyakuSearch,,
マグネシウム,リチウム,中,ることがある。 本剤(高用量投与時)は血漿蛋白に結合したメトトレキサートと置換し、遊離させる。また、本剤はメトトレキサートの腎排泄を阻害すると考えられている。 リチウム製剤 血中リチウム濃度を上昇させ、リチウム中毒を起こすおそれがある。 本剤の腎におけるプロスタグランジン生合成抑制作用により、リチウムの腎排泄が減少し、血中濃度が上昇するためと考えられる。 チアジド系利尿剤 利尿・降圧作用を減弱するおそれがある。 本剤の腎におけるプロスタグランジン生合成抑制作用により、水・ナト,PMDA iyakuSearch,,
マグネシウム,メトトレキサート,中,血糖降下作用をもつ。また、血漿蛋白と結合したスルホニル尿素系血糖降下剤(トルブタミド等)と置換し、遊離のスルホニル尿素系血糖降下剤が増加すると考えられている。 メトトレキサート メトトレキサートの副作用(骨髄抑制、肝・腎・消化管障害等)が増強されることがある。 本剤(高用量投与時)は血漿蛋白に結合したメトトレキサートと置換し、遊離させる。また、本剤はメトトレキサートの腎排泄を阻害すると考えられている。 リチウム製剤 血中リチウム濃度を上昇させ、リチウム中毒を起こすおそれがある,PMDA iyakuSearch,,
アスピリン,マグネシウム,中,"うA81 承認番号等 承認番号 22100AMX01376000 販売開始年月 2009年9月 貯法・有効期間 貯法 室温保存 有効期間 3.5年 一般的名称 アスピリン/アルミニウム グリシネート/炭酸マグネシウム 2. 禁忌(次の患者には投与しないこと) 2.1 本剤及び本剤の成分又はサリチル酸系製剤に対し過敏症の既往歴のある患者 2.2 消化性潰瘍のある患者[胃出血の発現又は消化性潰瘍が悪化するおそれがある。] , 2.3 出血傾向のある患者[出血を増強するおそれがある",PMDA iyakuSearch,,
シクロスポリン,マグネシウム,中,合成を抑制し、β-遮断剤の降圧作用に拮抗する。 ドネペジル塩酸塩 消化性潰瘍を起こすことがある。 コリン系が賦活され胃酸分泌が促進される。 タクロリムス水和物 シクロスポリン 腎障害が発現することがある。 腎障害の副作用が相互に増強されると考えられる。 ザフィルルカスト ザフィルルカストの血漿中濃度が上昇することがある。 機序は不明である。 プロスタグランジンD 2 、トロンボキサンA 2 受容体拮抗剤(セラトロダスト、ラマトロバン) ヒト血漿蛋白結合に対する相互作用の検討(,PMDA iyakuSearch,,
フェニトイン,マグネシウム,中,バルプロ酸ナトリウム バルプロ酸ナトリウムの作用を増強し、振戦等を起こすことがある。 アスピリンは血漿蛋白に結合したバルプロ酸ナトリウムと置換し、遊離させる。 フェニトイン 総フェニトイン濃度を低下させるが、非結合型フェニトイン濃度を低下させないとの報告があるので、総フェニトイン濃度に基づいて増量する際には臨床症状等を慎重に観察すること。 本剤(高用量投与時)は血漿蛋白に結合したフェニトインと置換し、遊離させる。 アセタゾラミド アセタゾラミドの副作用を増強し、嗜眠、錯乱等の,PMDA iyakuSearch,,
SSRI,マグネシウム,中,"薬剤の非結合型分率が上昇することがある。 これら薬剤が本剤と血漿蛋白結合部位で置換し、遊離型血中濃度が上昇すると考えられる。 選択的セロトニン再取り込み阻害剤(SSRI) フルボキサミンマレイン酸塩 塩酸セルトラリン等 , 皮膚の異常出血(斑状出血、紫斑等)、出血症状(胃腸出血等)が報告されている。 SSRIの投与により血小板凝集が阻害され、本剤との併用により出血傾向が増強すると考えられる。 アルコール , 消化管出血が増強されるおそれがある。 アルコールによる胃粘膜障害と本",PMDA iyakuSearch,,
クマリン系抗凝血薬,マグネシウム,中,"序・危険因子 尿酸排泄促進剤 プロベネシド ベンズブロマロン 尿酸排泄促進剤の尿酸排泄作用を減弱させる。 本剤が尿酸排泄促進剤の尿酸排泄に拮抗する。 抗凝固剤 クマリン系抗凝固剤 ワルファリンカリウム , クマリン系抗凝固剤の作用を増強し、出血時間の延長、消化管出血等を起こすことがあるので、クマリン系抗凝固剤を減量するなど、慎重に投与すること。 本剤は血漿蛋白に結合したクマリン系抗凝固剤と置換し、遊離させる。また、本剤は血小板凝集抑制作用、消化管刺激による出血作用を有する。",PMDA iyakuSearch,,
タクロリムス,マグネシウム,中,プロスタグランジン生合成を抑制し、β-遮断剤の降圧作用に拮抗する。 ドネペジル塩酸塩 消化性潰瘍を起こすことがある。 コリン系が賦活され胃酸分泌が促進される。 タクロリムス水和物 シクロスポリン 腎障害が発現することがある。 腎障害の副作用が相互に増強されると考えられる。 ザフィルルカスト ザフィルルカストの血漿中濃度が上昇することがある。 機序は不明である。 プロスタグランジンD 2 、トロンボキサンA 2 受容体拮抗剤(セラトロダスト、ラマトロバン) ヒト血漿蛋白結合に対,PMDA iyakuSearch,,
L−アスパラギン酸マグネシウム,シクロスポリン,高,抗剤 ロサルタンカリウム カンデサルタンシレキセチル バルサルタン等 非ステロイド性消炎鎮痛剤 インドメタシン等 β遮断剤 プロプラノロール メトプロロール等 シクロスポリン ヘパリン ジゴキシン * トルバプタン 高カリウム血症があらわれることがある。 定期的に血清カリウム値を観察し、異常が認められた場合には、本剤を減量するなど適切な処置を行う。 * カリウム保持性利尿剤はナトリウム、水の排泄を促進し、カリウムの排泄を抑制する。 アンジオテンシン変換酵素阻害剤、アンジオテン,PMDA iyakuSearch,,
L−アスパラギン酸マグネシウム,ジゴキシン,高,カンデサルタンシレキセチル バルサルタン等 非ステロイド性消炎鎮痛剤 インドメタシン等 β遮断剤 プロプラノロール メトプロロール等 シクロスポリン ヘパリン ジゴキシン * トルバプタン 高カリウム血症があらわれることがある。 定期的に血清カリウム値を観察し、異常が認められた場合には、本剤を減量するなど適切な処置を行う。 * カリウム保持性利尿剤はナトリウム、水の排泄を促進し、カリウムの排泄を抑制する。 アンジオテンシン変換酵素阻害剤、アンジオテンシンII受容体拮抗剤は、ア,PMDA iyakuSearch,,
L−アスパラギン酸マグネシウム,インスリン,高,TA001 4. 効能又は効果 下記疾患又は状態におけるカリウム補給(マグネシウム欠乏を合併している疑いのある場合) 降圧利尿剤、副腎皮質ホルモン、強心配糖体、インスリン、ある種の抗生物質などの連用時 低カリウム血症型周期性四肢麻痺 心疾患時の低カリウム状態 肝疾患時の低カリウム状態 重症嘔吐、下痢、カリウム摂取不足及び手術後 6. 用法及び用量 原則として、L-アスパラギン酸カリウムとして1日225~750mgを2~3回に分割経口投与する。 なお、年齢、症状により適宜増減す,PMDA iyakuSearch,,
カリウム,ワーファリン,高,子 プロベネシド アモキシシリンの血中濃度は維持できるが、クラブラン酸の血中濃度は維持できない。 プロベネシドは、尿細管でのアモキシシリンの分泌を減少させる。 ワルファリンカリウム プロトロンビン時間延長(INR上昇)が報告されている。ワルファリン投与中に本剤を投与開始又は投与中止する場合には、血液凝固能検査値等に注意し、ワルファリンの投与量を調節するなど適切な処置を行うこと。 本剤は腸内細菌によるビタミンKの産生を抑制し、ワルファリンの作用が増強される可能性があると考えられ,PMDA iyakuSearch,,
