製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件
ナリピタン,原沢製薬工業,指定第2類,精神障害,耳鳴症、皮ふ炎、蕁麻疹、にきび、吹出物、肩こり,"次の量を食後に水又はお湯で服用してください
大人（１５歳以上）：１回２～３錠
１日３回服用
１５歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．定められた用法・用量を厳守すること
２．吸湿しやすいため、服用のつどキャップをしっかりしめること
１５歳未満は服用しないこと",15,"アミノ安息香酸エチル
アロエ末
カフェイン水和物
クロルフェニラミンマレイン酸塩
チアミン塩化物塩酸塩
ニコチン酸アミド
パパベリン塩酸塩
リボフラビン",禁止物質なし,,
雲仙散,摩耶堂製薬,指定第2類,筋肉痛,腰痛、背痛、五十肩、筋肉痛、神経痛、関節炎、リウマチ,"次の量を食間に水又はお湯で服用してください
成人：１回１包
８歳～１５歳：１回１／２包
４歳～７歳：１回１／３包
１日３回服用
４歳未満：服用しないこと
服用時間を守りましょう
＜食間＞食後２～３時間後の空腹時を指します
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください",4,"カッコン
カンゾウ
キョウニン
ケイヒ
シャクヤク
ショウキョウ
ソウジュツ
タイソウ
ダイオウ
トウニン
ブクリョウ
ボウイ
ボウフウ
ボタンピ
マオウ
ヨクイニン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ニコレット,ＪＮＴＬコンシューマーヘルス,指定第2類,禁煙補助薬,禁煙時のイライラ・集中困難・落ち着かないなどの症状の緩和,"タバコを吸いたいと思ったとき、１回１個をゆっくりと間をおきながら、３０～６０分間かけてかむ
１日の使用個数は次記を目安とし、通常、１日４～１２個から始めて適宜増減するが、１日の総使用個数は２４個を超えないこと
禁煙になれてきたら（１カ月前後）、１週間ごとに１日の使用個数を１～２個ずつ減らし、１日の使用個数が１～２個となった段階で使用をやめる
なお、使用期間は３カ月をめどとする
１回量：１個
１日最大使用個数：２４個
使用開始時の１日の使用個数の目安
禁煙前の１日の喫煙本数２０本以下の場合：１日４～６個使用
禁煙前の１日の喫煙本数２１～３０本の場合：１日６～９個使用
禁煙前の１日の喫煙本数３１本以上の場合：１日９～１２個使用
＜用法・用量に関連する注意＞
１．タバコを吸うのを完全に止めて使用すること
２．１回に２個以上かまないこと（ニコチンが過量摂取され、吐き気、めまい、腹痛などの症状が現れることがある）
３．辛みや刺激感を感じたらかむのを止めて、ほほの内側などに寄せて休ませること
４．本剤はガム製剤であるので飲み込まないことまた、本剤が入れ歯などに付着し、脱落・損傷を起こすことがあるので、入れ歯などの歯科的治療を受けたことのある人は、使用に際して注意すること
５．コーヒーや炭酸飲料などを飲んだ後、しばらくは本剤を使用しないこと（本剤の十分な効果が得られないことがある）
６．口内に使用する吸入剤やスプレー剤とは同時に使用しないこと（口内・のどの刺激感、のどの痛みなどの症状を悪化させることがある）",,ニコチン,禁止物質なし,,
ニコチネルパッチ１０,Ｈａｌｅｏｎジャパン,第1類,禁煙補助薬,禁煙時のイライラ・集中困難・落ち着かないなどの症状の緩和,"タバコを吸いたいと思ったとき、１回１個をゆっくりと間をおきながら、３０～６０分間かけてかむ
１日の使用個数は次記を目安とし、通常、１日４～１２個から始めて適宜増減するが、１日の総使用個数は２４個を超えないこと
禁煙になれてきたら（１カ月前後）、１週間ごとに１日の使用個数を１～２個ずつ減らし、１日の使用個数が１～２個となった段階で使用をやめる
なお、使用期間は３カ月をめどとする
１回量：１個
１日最大使用個数：２４個
使用開始時の１日の使用個数の目安
禁煙前の１日の喫煙本数２０本以下の場合：１日４～６個使用
禁煙前の１日の喫煙本数２１～３０本の場合：１日６～９個使用
禁煙前の１日の喫煙本数３１本以上の場合：１日９～１２個使用
＜用法・用量に関連する注意＞
１．タバコを吸うのを完全に止めて使用すること
２．１回に２個以上かまないこと（ニコチンが過量摂取され、吐き気、めまい、腹痛などの症状が現れることがある）
３．辛みや刺激感を感じたらかむのを止めて、ほほの内側などに寄せて休ませること
４．本剤はガム製剤であるので飲み込まないことまた、本剤が入れ歯などに付着し、脱落・損傷を起こすことがあるので、入れ歯などの歯科的治療を受けたことのある人は、使用に際して注意すること
５．コーヒーや炭酸飲料などを飲んだ後、しばらくは本剤を使用しないこと（本剤の十分な効果が得られないことがある）
７．口内に使用する吸入剤やスプレー剤とは同時に使用しないこと（口内・のどの刺激感、のどの痛みなどの症状を悪化させることがある）",,ニコチン,禁止物質なし,,
ニコチネルスペアミント,Ｈａｌｅｏｎジャパン,指定第1類,禁煙補助薬,禁煙時のイライラ・集中困難・落ち着かないなどの症状の緩和,"タバコを吸いたいと思ったとき、１回１個をゆっくりと間をおきながら、３０～６０分間かけてかみます
１日の使用個数は次記を目安とし、通常、１日４～１２個から始めて適宜増減しますが、１日の総使用個数は２４個を超えないでください
禁煙になれてきたら（１カ月前後）、１週間ごとに１日の使用個数を１～２個ずつ減らし、１日の使用個数が１～２個となった段階で使用をやめます
なお、使用期間は３カ月をめどとします
１回量：１個
１日最大使用個数：２４個
使用開始時の１日の使用個数の目安
禁煙前の１日の喫煙本数２０本以下の場合：１日４～６個使用
禁煙前の１日の喫煙本数２１～３０本の場合：１日６～９個使用
禁煙前の１日の喫煙本数３１本以上の場合：１日９～１２個使用
＜用法・用量に関する注意＞
１．タバコを吸うのを完全に止めて使用してください
２．１回に２個以上かまないでください（ニコチンが過量摂取され、吐き気、めまい、腹痛などの症状が現れることがあります）
３．辛みや刺激感を感じたらかむのを止めて、ほほの内側などに寄せて休ませてください
４．本剤はガム製剤ですので飲み込まないでくださいまた、本剤が入れ歯などに付着し、脱落・損傷を起こすことがありますので、入れ歯などの歯科的治療を受けたことのある人は、使用に際して注意してください
５．コーヒーや炭酸飲料などを飲んだ後、しばらくは本剤を使用しないでください（本剤の十分な効果が得られないことがあります）
５．口内に使用する吸入剤やスプレー剤とは同時に使用しないでください（口内・のどの刺激感、のどの痛みなどの症状を悪化させることがあります）",,ニコチン,禁止物質なし,,
ニコチネルマンゴー,Ｈａｌｅｏｎジャパン,指定第2類,禁煙補助薬,禁煙時のイライラ・集中困難・落ち着かないなどの症状の緩和,"タバコを吸いたいと思ったとき、１回１個をゆっくりと間をおきながら、３０～６０分間かけてかみます
１日の使用個数は次記を目安とし、通常、１日４～１２個から始めて適宜増減しますが、１日の総使用個数は２４個を超えないでください
禁煙になれてきたら（１カ月前後）、１週間ごとに１日の使用個数を１～２個ずつ減らし、１日の使用個数が１～２個となった段階で使用をやめます
なお、使用期間は３カ月をめどとします
１回量：１個
１日最大使用個数：２４個
使用開始時の１日の使用個数の目安
禁煙前の１日の喫煙本数２０本以下の場合：１日４～６個使用
禁煙前の１日の喫煙本数２１～３０本の場合：１日６～９個使用
禁煙前の１日の喫煙本数３１本以上の場合：１日９～１２個使用
＜用法・用量に関する注意＞
１．タバコを吸うのを完全に止めて使用してください
２．１回に２個以上かまないでください（ニコチンが過量摂取され、吐き気、めまい、腹痛などの症状が現れることがあります）
３．辛みや刺激感を感じたらかむのを止めて、ほほの内側などに寄せて休ませてください
４．本剤はガム製剤ですので飲み込まないでくださいまた、本剤が入れ歯などに付着し、脱落・損傷を起こすことがありますので、入れ歯などの歯科的治療を受けたことのある人は、使用に際して注意してください
５．コーヒーや炭酸飲料などを飲んだ後、しばらくは本剤を使用しないでください（本剤の十分な効果が得られないことがあります）
６．口内に使用する吸入剤やスプレー剤とは同時に使用しないでください（口内・のどの刺激感、のどの痛みなどの症状を悪化させることがあります）",,ニコチン,禁止物質なし,,
加香ヒマシ油,健栄製薬,第2類,胃腸薬,食あたり等,"本剤は、次記用量を１日１回を限度として、必要時、そのまま又は水、牛乳などに浮かべて服用してください
大人（１５歳以上）：２０ｍＬ
１１歳以上１５歳未満：１３ｍＬ
７歳以上１１歳未満：１０ｍＬ
３歳以上７歳未満：６ｍＬ
＜用法用量に関連する注意＞
１．用法用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください
３．就寝前の服用を避けてください",,ヒマシ油,禁止物質なし,,
乙字湯,東洋漢方製薬,第2類,胃腸薬,いぼ痔,"１包（１日量）につき水４００ｍＬを加えあまり強くない火にかけ２００ｍＬに煮詰め、紙袋とともに煎じかすを取り去り、大人（１５歳以上）は、食前１時間前又は食間空腹時に温服してください
小人（１５歳未満４歳以上）は、空腹時に温服してください
大人（１５歳以上）：１包（１日量）煎じ液全量
１日３回～２回に分けて服用
１５歳未満７歳以上：１包（１日量）煎じ液２／３量
７歳未満４歳以上：１包（１日量）煎じ液１／２量
４歳未満２歳以上：１包（１日量）煎じ液１／３量
２歳未満：１包（１日量）煎じ液１／４量以下
１日３回に分けて服用
＜用法・用量に関連する注意＞
１．小児に服用させる場合には、保護者の指導監督のもとに服用させること
２．１歳未満の乳児には、医師の診療を受けさせることを優先し、やむを得ない場合にのみ服用させること
３．用法・用量を厳守すること",,"オウゴン
カンゾウ
サイコ
ショウマ
ダイオウ
トウキ",禁止物質なし,,
桂枝茯苓湯,東洋漢方製薬,第2類,筋肉痛,打撲症,"大人（１５歳以上）は１包（１日量）につき水４００ｍＬを加えあまり強くない火にかけ２００ｍＬに煮つめ、紙袋とともに煎じかすを取り去り、食前１時間前又は食間空腹時に温服してください
小人（１５歳未満７歳以上）は同様に煎じて食間空腹時に温服してください
大人（１５歳以上）：１包（１日量）煎じ液全量
１日３～２回に分けて服用
１５歳未満７歳以上：１包（１日量）煎じ液２／３量
１日３回に分けて服用
７歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．小児に服用させる場合には、保護者の指導監督のもとに服用させること
２．用法・用量を厳守すること",7,"ケイヒ
シャクヤク
トウニン
ブクリョウ
ボタンピ",禁止物質なし,,
ケイブク（顆粒）,東洋漢方製薬,第2類,筋肉痛,打撲症,"次記の量を食間又は空腹時に水又は温湯にて服用してください
大人（１５歳以上）：１回１包
１５歳未満７歳以上：１回２／３包
１日３回服用
７歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．小児に服用させる場合には、保護者の指導監督のもとに服用させること
２．用法・用量を厳守すること",7,"ケイヒ
ケイヒ末
シャクヤク
シャクヤク末
トウニン
トウニン末
ブクリョウ
ブクリョウ末
ボタンピ
ボタンピ末",禁止物質なし,,
健婦丸,栃本天海堂,第2類,筋肉痛,打撲症,"１５歳以上：１回３０丸、１日３回、食前又は食間に服用
１５歳未満の小児：服用しないでください
＜用法・用量に関連する注意＞
定められた用法・用量を厳守してください
食間とは、食後２～３時間を指します",15,"ケイヒ末
シャクヤク末
トウニン末
ブクリョウ末
ボタンピ末",禁止物質なし,,
漢方ナイトミン,明治薬品,第2類,睡眠障害,体力中等度以下で、心身が疲れ、精神不安、不眠などがあるものの次の諸症：不眠症、神経症,"次の量を食間に水又はお湯で服用してください
大人（１５歳以上）：１回４錠
１日３回服用
１５歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．定められた用法・用量を厳守すること
２．吸湿しやすいため、服用のつどキャップをしっかりしめること
食間とは「食事と食事の間」を意味し、食後約２～３時間のことをいいます",15,"カンゾウ
サンソウニン
センキュウ
チモ
ブクリョウ",禁止物質なし,,
酸棗仁湯,東洋漢方製薬,第2類,睡眠障害,心身がつかれ弱って眠れないもの,"１包（１日量）につき水４００ｍＬを加えあまり強くない火にかけ２００ｍＬに煮つめ、紙袋とともに煎じかすを取り去り、食前１時間前又は食間空腹時に温服してください
大人（１５歳以上）：１回１包（１日量）煎じ液全量
１日３～２回に分けて服用
１５歳未満：服用しないこと
＜用法・用量に関連する注意＞
用法・用量を厳守すること",15,"カンゾウ
サンソウニン
センキュウ
チモ
ブクリョウ",禁止物質なし,,
防已黄耆湯,東洋漢方製薬,第2類,胃腸薬,筋肉にしまりのない、いわゆる水ぶとり,"大人（１５歳以上）は１包（１日量）につき水４００ｍＬを加えあまり強くない火にかけ２００ｍＬに煮つめ、紙袋とともに煎じかすを取り去り、３～２回に分けて食前１時間前又は食間空腹時に温服してください
小人（１５歳未満４歳以上）は次記の量を１日３回に分けて服用してください
大人（１５歳以上）：１包（１日量）煎じ液全量
１日３～２回に分けて服用
１５歳未満７歳以上：１包（１日量）煎じ液２／３量
７歳未満４歳以上：１包（１日量）煎じ液１／２量
１日３回に分けて服用
４歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．小児に服用させる場合には、保護者の指導監督のもとに服用させること
２．用法・用量を厳守すること",4,"オウギ
カンゾウ
ショウキョウ
タイソウ
ビャクジュツ
ボウイ",禁止物質なし,,
ビトラックＳ,東洋漢方製薬,第2類,筋肉痛,ひざの痛み又はむくみ,"次記の量を食前又は食間に水又は温湯にて服用してください
大人（１５歳以上）：１回１包
１５歳未満７歳以上：１回２／３包
７歳未満４歳以上：１回１／２包
４歳未満２歳以上：１回１／３包
１日３回服用
２歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．小児に服用させる場合には、保護者の指導監督のもとに服用させること
２．用法・用量を厳守すること",2,"オウギ
カンゾウ
ショウキョウ
タイソウ
ビャクジュツ
ボウイ",禁止物質なし,,
ナイシトールＧ,小林製薬,第2類,鼻炎用薬,副鼻腔炎,"次の量を食前又は食間に水又はお湯で服用してください
大人（１５歳以上）：１回４錠
１日３回服用
１５歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．定められた用法・用量を厳守すること
２．吸湿しやすいため、服用のつどキャップをしっかりしめること
食間とは「食事と食事の間」を意味し、食後約２～３時間のことをいいます",15,"オウゴン
カッセキ
カンゾウ
キキョウ
ケイガイ
サンシシ
シャクヤク
ショウキョウ
セッコウ
センキュウ
ダイオウ
トウキ
ハッカ
ビャクジュツ
ボウショウ
ボウフウ
マオウ
レンギョウ",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ピュアＣホワイト,米田薬品工業,第3類,その他,"次の諸症状の緩和：しみ、そばかす、次の諸症状の緩和：日やけ・かぶれによる色素沈着
次の場合の出血予防：歯ぐきからの出血、鼻出血
「但し、これらの症状について、１カ月ほど使用しても改善がみられない場合は医師、薬剤師又は歯科医師に相談すること」
次の場合のビタミンＣの補給：肉体疲労時、妊娠・授乳期、病中病後の体力低下時、老年期","成人（１５歳以上）：１回２錠
７歳以上１５歳未満：１回１錠
７歳未満：服用しないでください
１日３回食前又は食後に服用してください
＜用法・用量に関連する注意＞
用法・用量を厳守してください
小児に服用させる場合には、保護者の指導監督のもとに服用させてください",7,"アスコルビン酸
コハク酸ｄ−α−トコフェロール
ピリドキシン塩酸塩
リボフラビン
Ｌ−システイン",禁止物質なし,,
ピュアナＣチュアブル錠,米田薬品工業,第3類,その他,"次の諸症状の緩和：しみ、そばかす、次の諸症状の緩和：日やけ・かぶれによる色素沈着
次の場合の出血予防：歯ぐきからの出血、鼻出血
「但し、これらの症状について、１カ月ほど使用しても改善がみられない場合は、医師、薬剤師又は歯科医師に相談してください」
次の場合のビタミンＣの補給：肉体疲労時、妊娠・授乳期、病中病後の体力低下時、老年期","１５歳以上：１回４錠
７歳以上１５歳未満：１回２錠
５歳以上７歳未満：１回１錠
５歳未満は服用しないでください
１日３回食後、かむか、口中で溶かして服用してください
＜用法・用量に関連する注意＞
用法・用量を厳守してください
小児に服用させる場合には、保護者の指導監督のもとに服用させてください",5,"アスコルビン酸
アスコルビン酸カルシウム
リボフラビン酪酸エステル",禁止物質なし,,
ホワイピュアＥＸ,第一薬品工業,第3類,その他,"次の諸症状の緩和：しみ、そばかす、次の諸症状の緩和：日やけ・かぶれによる色素沈着
次の場合の出血予防：歯ぐきからの出血、鼻血
「但し、これらの症状について、１カ月ほど使用しても改善がみられない場合は、医師、薬剤師又は歯科医師に相談すること」
次の場合のビタミンＣの補給：肉体疲労時、妊娠・授乳期、病中病後の体力低下時、老年期","次の１回量を１日２回服用してください
成人（１５歳以上）：１回２錠
７歳以上１５歳未満：１回１錠
７歳未満：服用させないこと
＜用法・用量に関連する注意＞
１．定められた用法・用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください",7,"アスコルビン酸
トコフェロールコハク酸エステルカルシウム
ニコチン酸アミド
パントテン酸カルシウム
ピリドキシン塩酸塩
リボフラビン
Ｌ−システイン",禁止物質なし,,
ハイシー１０００,アリナミン製薬,第3類,その他,"１．次の諸症状の緩和：しみ、そばかす、次の諸症状の緩和：日やけ・かぶれによる色素沈着
２．次の場合の出血予防：歯ぐきからの出血、鼻出血
３．次の場合のビタミンＣの補給：肉体疲労時、妊娠・授乳期、病中病後の体力低下時、老年期
「但し、前記１及び２の症状について、１カ月ほど使用しても改善がみられない場合は、医師、薬剤師又は歯科医師に相談すること」","次の量を、食後に水又はお湯で服用すること
１５歳以上：１回１包
１日１～２回服用
１５歳未満：服用しないこと
＜用法・用量に関連する注意＞
用法・用量を厳守すること",15,"アスコルビン酸
リボフラビン酪酸エステル
Ｌ−アスコルビン酸ナトリウム",禁止物質なし,,
チョコラＢＢルーセントＣ,日東薬品工業,第3類,その他,"１．次の諸症状の緩和：しみ、そばかす、次の諸症状の緩和：日やけ・かぶれによる色素沈着
２．次の場合のビタミンＣの補給：肉体疲労時、妊娠・授乳期、病中病後の体力低下時、老年期
３．次の場合の出血予防：歯ぐきからの出血、鼻出血
「但し、前記１及び３の症状について、１カ月ほど使用しても改善がみられない場合は、医師、薬剤師又は歯科医師に相談すること」","次の量を食前又は食後に水又はお湯で服用してください
成人（１５歳以上）：１回２錠
７歳以上１５歳未満：１回１錠
１日３回服用
７歳未満：服用しないこと
＜用法・用量に関連する注意＞
小児（７歳以上１５歳未満）に服用させる場合には、保護者の指導監督のもとに服用させてください",7,"アスコルビン酸
コハク酸ｄ−α−トコフェロール
ニコチン酸アミド
ピリドキシン塩酸塩
リボフラビンリン酸エステルナトリウム
Ｌ−システイン",禁止物質なし,,
ビルタミンＣ－２０００,至誠堂製薬,第3類,その他,"次の諸症状の緩和：しみ、そばかす、次の諸症状の緩和：日やけ・かぶれによる色素沈着
次の場合の出血予防：歯ぐきからの出血、鼻出血
「但し、これらの症状について、１カ月ほど使用しても改善がみられない場合は、医師、薬剤師又は歯科医師にご相談ください」
次の場合のビタミンＣの補給：肉体疲労時、妊娠、授乳期、病中病後の体力低下時、老年期","次の量を食後又は食間に服用します
１５歳以上：１回１包
１１歳以上１５歳未満：１回２／３包
７歳以上１１歳未満：１回１／２包
３歳以上７歳未満：１回１／３包
１歳以上３歳未満：１回１／４包
１日３回服用
１歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．定められた用法・用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用してください",1,"アスコルビン酸
リボフラビン
Ｌ−アスコルビン酸ナトリウム",禁止物質なし,,
東洋漢方のセンナ顆粒Ｓ（分包）,東洋漢方製薬,指定第2類,胃腸薬,"便秘
便秘に伴う次の症状の緩和：頭重、のぼせ、肌あれ、吹出物、食欲不振、腹部膨満、腸内異常醗酵、痔","大人（１５歳以上）：１回１／２～１包
１５歳未満１１歳以上：１回１／３～２／３包
１１歳未満７歳以上：１回１／４～１／２包
１日２回服用
７歳未満：服用しないこと
前記の量を朝夕の空腹時に服用してください
但し、初回は最小量を用い、便通の具合や状態を見ながら少しずつ増量又は減量すること
＜用法・用量に関連する注意＞
１．小児に服用させる場合には、保護者の指導監督のもとに服用させること
２．用法・用量を厳守すること",7,センナ末,禁止物質なし,,
ミカサ浣腸Ｎ４０,ムネ製薬,第2類,胃腸薬,便秘,"１２歳以上１回１個（４０ｇ）を直腸内に注入します
それで効果のみられない場合には、さらに同量をもう一度注入してください
＜用法・用量に関する注意＞
１．用法・用量を厳守してください
２．本剤使用後は、便意が強まるまでしばらくがまんしてください（使用後、すぐに排便を試みると、薬剤のみが排出され、効果がみられないことがあります）
３．１２歳未満の小児には、使用させないでください
４．浣腸にのみ使用してください（内服しないでください）",12,グリセリン,禁止物質なし,,
コトブキ浣腸４０,ムネ製薬,第2類,胃腸薬,便秘,"１２歳以上１回１個（４０ｇ）を直腸内に注入します
それで効果のみられない場合には、さらに同量をもう一度注入してください
＜用法・用量に関する注意＞
１．用法・用量を厳守すること
２．本剤使用後は、便意が強まるまで、しばらくがまんすること（使用後、すぐに排便を試みると薬剤のみ排出され、効果がみられないことがある）
３．１２歳未満の小児には使用させないこと
４．浣腸にのみ使用すること
５．無理に挿入すると、直腸粘膜を傷つけるおそれがあるので注意してください
６．冬季は容器を温湯（４０℃）に入れ、体温近くまで温めると快適に使用できます",12,グリセリン,禁止物質なし,,
グリセリン浣腸Ａ１０,ムネ製薬,第2類,胃腸薬,便秘,"１歳以上６歳未満１回１個（１０ｇ）を直腸内に注入します
１歳未満の乳児に使用する場合は、１回１個の約半量（約５ｇ）を容器の１／２線により量り、直腸内に注入します
なお、使用残液は廃棄してください
それで効果のみられない場合には、さらに同量をもう一度注入してください
＜用法・用量に関する注意＞
１．用法・用量を厳守すること
２．本剤使用後は、便意が強まるまで、しばらくがまんすること（使用後、すぐに排便を試みると薬剤のみ排出され、効果がみられないことがある）
３．小児に使用させる場合には、保護者の指導監督のもとに使用させること
４．特に乳幼児の場合には、安易な使用を避け、浣腸にたよりすぎないよう注意すること
５．浣腸にのみ使用すること",,グリセリン,禁止物質なし,,
スースカット浣腸１０,ムネ製薬,第2類,胃腸薬,便秘,"１歳以上６歳未満１回１個（１０ｇ）を直腸内に注入します
１歳未満の乳児に使用する場合は、１回１個の約半量（約５ｇ）を容器の１／２線により量り、直腸内に注入します
なお、使用残液は廃棄してください
それで効果のみられない場合には、さらに同量をもう一度注入してください
＜用法・用量に関する注意＞
１．用法・用量を厳守すること
２．本剤使用後は、便意が強まるまで、しばらくがまんすること（使用後、すぐに排便を試みると薬剤のみ排出され、効果がみられないことがある）
３．小児に使用させる場合には、保護者の指導監督のもとに使用させること
４．特に乳幼児の場合には、安易な使用を避け、浣腸にたよりすぎないよう注意すること
５．浣腸にのみ使用すること",,グリセリン,禁止物質なし,,
コトブキ浣腸ひとおし,ムネ製薬,第2類,胃腸薬,便秘,"１２歳以上１回１個（３０ｇ）を直腸内に注入します
それで効果のみられない場合には、さらに同量をもう一度注入してください
＜用法・用量に関する注意＞
１．用法・用量を厳守すること
２．本剤使用後は、便意が強まるまで、しばらくがまんすること（使用後、すぐに排便を試みると薬剤のみ排出され、効果がみられないことがある）
３．１２歳未満の小児には使用させないこと
４．浣腸にのみ使用すること
５．無理に挿入すると、直腸粘膜を傷つけるおそれがあるので注意してください
６．冬季は容器を温湯（４０℃）に入れ、体温近くまで温めると快適に使用できます",12,グリセリン,禁止物質なし,,
コトブキ浣腸４０パステル,ムネ製薬,第2類,胃腸薬,便秘,"１２歳以上１回１個（４０ｇ）を直腸内に注入します
それで効果のみられない場合には、さらに同量をもう一度注入してください
＜用法・用量に関する注意＞
１．用法・用量を厳守すること
２．本剤使用後は、便意が強まるまで、しばらくがまんすること（使用後、すぐに排便を試みると薬剤のみ排出され、効果がみられないことがある）
３．１２歳未満の小児には使用させないこと
４．浣腸にのみ使用すること
５．無理に挿入すると、直腸粘膜を傷つけるおそれがあるので注意してください
６．冬季は容器を温湯（４０℃）に入れ、体温近くまで温めると快適に使用できます",12,グリセリン,禁止物質なし,,
コトブキ浣腸３０パステル,ムネ製薬,第2類,胃腸薬,便秘,"１２歳以上１回１個（３０ｇ）を直腸内に注入します
それで効果のみられない場合には、さらに同量をもう一度注入してください
＜用法・用量に関する注意＞
１．用法・用量を厳守すること
２．本剤使用後は、便意が強まるまで、しばらくがまんすること（使用後、すぐに排便を試みると薬剤のみ排出され、効果がみられないことがある）
３．１２歳未満の小児には使用させないこと
４．浣腸にのみ使用すること
５．無理に挿入すると、直腸粘膜を傷つけるおそれがあるので注意してください
６．冬季は容器を温湯（４０℃）に入れ、体温近くまで温めると快適に使用できます",12,グリセリン,禁止物質なし,,
コリイス浣腸３０,ムネ製薬,第2類,胃腸薬,便秘,"１２歳以上１回１個（３０ｇ）を直腸内に注入します
それで効果のみられない場合には、さらに同量をもう一度注入してください
＜用法・用量に関する注意＞
１．用法・用量を厳守すること
２．本剤使用後は、便意が強まるまで、しばらくがまんすること（使用後、すぐに排便を試みると薬剤のみ排出され、効果がみられないことがある）
３．１２歳未満の小児には使用させないこと
４．浣腸にのみ使用すること
５．無理に挿入すると、直腸粘膜を傷つけるおそれがあるので注意してください
６．冬季は容器を温湯（４０℃）に入れ、体温近くまで温めると快適に使用できます",12,グリセリン,禁止物質なし,,
本草センナ錠,本草製薬,指定第2類,胃腸薬,食欲減退,"次の量を１日２回朝夕の空腹時に服用すること
但し、初回は最小量を用い、便通の具合や状態をみながら少しずつ増量又は減量すること
大人（１５歳以上）：１回２～６錠
１１歳以上１５歳未満：１回１～４錠
７歳以上１１歳未満：１回１～３錠
５歳以上７歳未満：１回１～２錠
１日２回服用
５歳未満：服用しないこと
＜用法・用量に関連する注意＞
小児に服用させる場合には、保護者の指導監督のもとに服用させること",5,センナ末,禁止物質なし,,
第一三共胃腸薬コアブロック散剤,東亜薬品,第2類,胃腸薬,むかつき、嘔気、二日酔のむかつき・悪酔のむかつき,"次の量を水又はお湯で服用してください
成人（１５歳以上）：１回１包
１日３回服用
食間又は就寝前に服用してください
１５歳未満：服用しないでください
（食間とは食事と食事の間で、前の食事から２～３時間後のことです）
＜用法・用量に関連する注意＞
用法・用量を厳守してください",15,"セトラキサート塩酸塩
ロートエキス
水酸化マグネシウム
沈降炭酸カルシウム",禁止物質なし,,
ゼリア健胃内服液,ゼリア新薬工業,第2類,胃腸薬,過飲,"成人（１５歳以上）１回１瓶、１日３回服用してください
なお、１５歳未満は服用しないでください
用法・用量を守ること",15,"オウレン流エキス
キジツエキス",禁止物質なし,,
新バック液,全薬工業,第2類,胃腸薬,二日酔のむかつき・悪酔のむかつき、胃のむかつき、嘔気、悪心,"１５歳以上１回１びん、１日３回食後に服用します
生薬配合製剤ですので、よく振ってから服用してください",,"アセンヤク
オウレン抽出液
カンゾウエキス
ケイヒ抽出液
ゲンチアナ抽出液
コショウ抽出液
ソウジュツ抽出液
チョウジ抽出液",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
ソルマックプラス,大鵬薬品工業,第2類,胃腸薬,二日酔のむかつき・悪酔のむかつき、むかつき、胃のむかつき、嘔気、悪心,"成人（１５歳以上）１回１本（２５ｍＬ）を１日２回服用してください
服用間隔は４時間以上おいてください
小児（１５歳未満）は服用しないでください
用法・用量を厳守してください",15,"アルコール
ウコン流エキス
オウレンチンキ
カルニチン塩化物
カンゾウ抽出物
ケイヒチンキ
ゲンチアナチンキ
ソウジュツ流エキス
チョウジチンキ
ニンジン流エキス",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
ソルマックＥＸ２,大鵬薬品工業,第2類,胃腸薬,過食,"成人（１５歳以上）１日１回１本（５０ｍＬ）を服用してください
小児（１５歳未満）は服用しないでください
用法・用量を厳守してください",15,"アルコール
ウコン流エキス
エンメイソウエキス
オウレンチンキ
カルニチン塩化物
カンゾウ抽出物
ケイヒチンキ
ゲンチアナチンキ
ソウジュツ流エキス
チョウジチンキ
ニンジン流エキス",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
