製品名,Summarized Efficacy
隆持源ゴールド,滋養強壮、虚弱体質、肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の
パルスゾン内服液,滋養強壮、虚弱体質、肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の
ビタアルトＢＢⅡ,次の諸症状の緩和：口角炎、口唇炎、口内炎、舌炎、湿疹、皮膚炎、かぶれ、ただれ、にきび、肌あれ、赤鼻、
ビタオーダーＢＢケア,次の諸症状の緩和：口角炎、口唇炎、口内炎、舌炎、湿疹、皮膚炎、かぶれ、ただれ、にきび、肌あれ、赤鼻、
ネオビビアミン－Ｌ錠,"次の諸症状の緩和：口角炎、口唇炎、口内炎、舌炎、湿疹、皮膚炎、かぶれ、ただれ、にきび、肌あれ。
「但"
ビタミンＢＢ－Ｌ錠「クニヒロ」,"次の諸症状の緩和：口角炎、口唇炎、口内炎、舌炎、湿疹、皮膚炎、かぶれ、ただれ、にきび、肌あれ。
「但"
ビタミンＢＢプラス「クニヒロ」,次の諸症状の緩和：口角炎、口唇炎、口内炎、舌炎、湿疹、皮膚炎、かぶれ、ただれ、にきび、肌あれ、赤鼻、
ビタサプリＢ２６Ｌ,"次の諸症状の緩和：口角炎、口唇炎、口内炎、舌炎、湿疹、皮膚炎、かぶれ、ただれ、にきび、肌あれ。
「但"
新フジミンＤ３０,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
新エバユースＢ２６,"次の諸症状の緩和：肌あれ、にきび、口内炎、皮膚炎、しっしん、かぶれ、ただれ、口角炎、口唇炎、舌炎。
"
キュアナチュラルＢＢＣＬプラス,１．次の諸症状の緩和：肌あれ、にきび・吹き出物、湿疹、皮膚炎、かぶれ、ただれ、口内炎、口角炎（唇の両
ネーブルＥＣケア,"次の諸症状の緩和：しみ、そばかす、次の諸症状の緩和：日やけ・かぶれによる色素沈着。
末梢血行障害によ"
ユンケルＥＣ,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
新ビタレオンＥＣ＜ナチュレ＞,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
ビトン－ハイＥＣＢ２,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
ユベラ－Ｃソフト,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
デルクスＥＣ顆粒ハイ,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
セルメＥＣ顆粒,"次の諸症状の緩和：しみ、そばかす、次の諸症状の緩和：日やけ・かぶれによる色素沈着。
次の場合の出血予"
アポスティーＥＣ＋Ｂ,"次の諸症状の緩和：しみ、そばかす、次の諸症状の緩和：日やけ・かぶれによる色素沈着。
末梢血行障害によ"
フェミールＥＣ顆粒,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
フルタイムＥＣ,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
フルタイムＥＣ,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
ハイシーホワイト２,"１．次の諸症状の緩和：しみ、そばかす、次の諸症状の緩和：日やけ・かぶれによる色素沈着。
２．次の場合"
ピラビタンＥＣ－Ｓ,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
セイムビタンハイ,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
トコスタシーエースＥＣ２０００,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
ビゼビタＥＣ２０００,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
ビゼラックＥＣ２０００,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
ビゼールＥＣ２０００,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
ミルハイトンＥＣ２０００,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
キーレＥＣ,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
タカフミンＥＣ２０００,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
ビタサプリＥＣＢ２Ｂ６顆粒ｓ,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
ビガシーＥＣ,"次の諸症状の緩和：しみ、そばかす、次の諸症状の緩和：日やけ・かぶれによる色素沈着。
末梢血行障害によ"
新エバユースＥＣ,"次の諸症状の緩和：しみ、そばかす、次の諸症状の緩和：日やけ・かぶれによる色素沈着。
末梢血行障害によ"
ビトン－ハイリッチ,"次の諸症状の緩和：しみ、そばかす、次の諸症状の緩和：日やけ・かぶれによる色素沈着。
末梢血行障害によ"
タウロミンホワイト,"次の諸症状の緩和：しみ、そばかす、次の諸症状の緩和：日やけ・かぶれによる色素沈着。
次の場合の出血予"
ビタゴールドＥＣ顆粒,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
ズバロン,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
リキフェロール,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
ハイＥＣ,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
ビタミンＥＣ－Ｌ錠「クニヒロ」,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
フジミンハイ,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
ユンケルＥＣプラス,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
フルタイムＥＣ,"末梢血行障害による次の諸症状の緩和：肩のこり・首すじのこり、手足のしびれ・手足の冷え、しもやけ。
次"
ハイシーＥクラス,"１．次の諸症状の緩和：しみ、そばかす、次の諸症状の緩和：日やけ・かぶれによる色素沈着。
２．末梢血行"
ナボリンＳ《２１錠》,"次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、神経痛、手足のしびれ。
「但"
エスファイトゴールド,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
エスファイトゴールドＤＸ,"次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩こり、腰痛、五十肩など）、神経痛、手足のしびれ。
「但"
ノイビタコンドロ錠,１．次の諸症状の緩和：関節痛・筋肉痛（腰痛、肩こり、五十肩など）、神経痛、手足のしびれ、眼精疲労、便
アリフロミンＥＸ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
レグトールＥＸアルファ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
パイルズＥＸハイＦ,"次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、神経痛。
「但"
ユニベストＢＥ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
アクティビタミンＥＸ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
アクティビタミンＧＸゴールド,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
カムリゴールドＥＸ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
アインゴールドＥＸ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ハイバローレＥＸ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
クレビタンＥＸα,次の諸症状の緩和：眼精疲労（慢性的な目の疲れ及びそれに伴う目のかすみ・目の奥の痛み）、筋肉痛・関節痛
マージョンアクトＥＸ,次の諸症状の緩和：眼精疲労（慢性的な目の疲れ及びそれに伴う目のかすみ・目の奥の痛み）、筋肉痛・関節痛
アクティビタミンＥＸα,次の諸症状の緩和：眼精疲労（慢性的な目の疲れ及びそれに伴う目のかすみ・目の奥の痛み）、筋肉痛・関節痛
アインゴールド錠ＥＸ,次の諸症状の緩和：眼精疲労（慢性的な目の疲れ及びそれに伴う目のかすみ・目の奥の痛み）、筋肉痛・関節痛
パイルズＥＸハイα,次の諸症状の緩和：眼精疲労（慢性的な目の疲れ及びそれに伴う目のかすみ・目の奥の痛み）、筋肉痛・関節痛
薬師楽歩錠,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
レグトールＥＸαプラス,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
コバラミンＥＸ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
アリナロングＥＸ錠アルファ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
グランドアクトＥＸ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ジーロップＥＸ錠アップ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
アリナリッチＥＸハイ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
コングルコン５５,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
ユンケル１・６・１２液,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
ユンケル１・６・１２ＥＸ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
コンドロビーエース,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
パンテＥＸ,"次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩こり、腰痛、五十肩など）、神経痛、手足のしびれ。
「但"
アリナミンＥＸプラス,"１．次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩こり、腰痛、五十肩など）、神経痛、手足のしびれ。
"
アクテージＳＮ錠,次の諸症状の緩和：筋肉痛・関節痛（肩のこり・首すじのこり、腰痛、五十肩など）、手足のしびれ、神経痛、
アリナミンＥＸゴールド,次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩のこり・首すじのこり、腰痛、五十肩など）、神経痛、手足
アスパグロンＥＸＰ,"１．次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩こり、腰痛、五十肩など）、神経痛、手足のしびれ。
"
アリナエコーＥＸＰ,"１．次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩こり、腰痛、五十肩など）、神経痛、手足のしびれ。
"
ネアックＥＸＰ,"１．次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩こり、腰痛、五十肩など）、神経痛、手足のしびれ。
"
ビタエビシンＥＸＰ,"１．次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩こり、腰痛、五十肩など）、神経痛、手足のしびれ。
"
ビタトレールＥＸＰ,"１．次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩こり、腰痛、五十肩など）、神経痛、手足のしびれ。
"
ビタロークＥＸＰ錠,"１．次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩こり、腰痛、五十肩など）、神経痛、手足のしびれ。
"
トレビタンＥＸＰ,"１．次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩こり、腰痛、五十肩など）、神経痛、手足のしびれ。
"
トレビタンＥＸＰ,"１．次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩こり、腰痛、五十肩など）、神経痛、手足のしびれ。
"
アリナエコーＥＸ２,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
コーズシックスシビリトル,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
クレマエースＥＸＰα,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
あやめのクリアライト錠,次の諸症状の緩和：眼精疲労（慢性的な目の疲れ及びそれに伴う目のかすみ・目の奥の痛み）、神経痛、筋肉痛
ミライアイ内用薬,次の諸症状の緩和：眼精疲労（慢性的な目の疲れ及びそれに伴う目のかすみ・目の奥の痛み）、神経痛、筋肉痛
リョウシンＢＧ錠,次の諸症状の緩和：手足のしびれ、神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）
七歩之才錠ＥＸ,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
大和活歩,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
ノイビタＺＥ,次の場合のビタミンＢ１・ビタミンＢ６・ビタミンＢ１２の補給：肉体疲労時、妊娠・授乳期、病中病後の体力
アスラック,次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、便秘、眼精疲労。
エルビタンＥＢ錠,"次の諸症状の緩和：筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労、神経痛。
「但"
ロポンＥＸ,"１．次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩こり、腰痛、五十肩など）、神経痛、手足のしびれ。
"
クレマエースＥＸＰ,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
オールビタミンＥＸゴールド,"１．次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩こり、腰痛、五十肩など）、神経痛、手足のしびれ。
"
デイトナＥＸゴールド,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
ヒロタミンＥＸ,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
ヒロタミンＥＸゴールド,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
ボディーメイトＥＸゴールド,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
ロポンＥＸゴールド,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
ハイオールＥＸゴールド,"１．次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩こり、腰痛、五十肩など）、神経痛、手足のしびれ。
"
ビタアルトＥＸａ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ビタゴールドＥＸエース,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ピュアレンＥＸａ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ナボリンＥＢ錠,"次の諸症状の緩和：肩のこり・首すじのこり、腰痛、神経痛、手足のしびれ（手足のしびれ感）。
「但し、こ"
メコプロミン,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
アイビタン,"次の諸症状の緩和：眼精疲労、神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ。
「但"
リフレアイ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
七歩之才錠,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
ラクティブＳ,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
アユミンＳ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ラクーダＥＸ,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
ビタノーゼゴールド,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ビタミン１，６，１２「明治」,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ヘルビタＳ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ロスミンＳ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ヘルビタＦＸプラス,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ビタタイムＦＸプラス,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ビタタイムＦＸプラスα,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ヘルビタＦＸプラスα,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ベルスカットＳ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ロスミンＳプラス,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
あゆみローヤルゴールド,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
アリナパロミンゴールド,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
アリナパロミンゴールド,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
ネオ疾風錠,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
新ビタアルトＥＸ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
新ピュアレンＥＸ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ビタアルトＥＸエース,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ピュアレンＥＸエース,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
Ｖロートプレミアムアイ内服錠,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
新ネオビタミンＥＸ「クニヒロ」,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
新ベルメイトＥＸ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
新パワーアクトＥＸ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
フジミンＥＸ,"次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、神経痛。
「但"
新セイムビタンＥＸ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
セイムビタンＥＸα,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
ビタロークＥＸＰ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
コングルコン１,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
四季歩錠,次の諸症状の緩和：神経痛、筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、手足のしびれ
ノイビタエースＥＸ,"次の諸症状の緩和：筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労、神経痛。
「但"
ＤＨＣイチロクジュニー,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
リョウシンＪＶ錠,"次の諸症状の緩和：筋肉痛・関節痛（腰痛、肩こり、五十肩など）、神経痛、手足のしびれ、眼精疲労。
「但"
ビタミンＢ１・Ｂ６・Ｂ１２錠「ＳＰ」ＥＸ,"１．次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、神経痛。
"
アリナミンＥＸプラスα,"１．次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩こり、腰痛、五十肩など）、神経痛、手足のしびれ。
"
ニュービタミンＥＸ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ハイビタミンＥＸアルファ,"次の諸症状の緩和：眼精疲労、神経痛、筋肉痛・関節痛（肩こり、腰痛、五十肩など）、手足のしびれ。
「但"
ナイスタイムＥＸ,次の諸症状の緩和：眼精疲労（慢性的な目の疲れ及びそれに伴う目のかすみ・目の奥の痛み）、筋肉痛・関節痛
ニュービタミンＥＸα,次の諸症状の緩和：眼精疲労（慢性的な目の疲れ及びそれに伴う目のかすみ・目の奥の痛み）、筋肉痛・関節痛
アリナミンメディカルゴールド,次の諸症状の緩和：眼精疲労、筋肉痛・関節痛（肩のこり・首すじのこり、腰痛、五十肩など）、神経痛、手足
タフボンＥＸ,"次の諸症状の緩和：神経痛、筋肉痛・関節痛（腰痛、肩こり、五十肩など）、手足のしびれ、眼精疲労。
「但"
ナボリンＳ,次の諸症状の緩和：筋肉痛・関節痛（肩痛・腰痛・肘痛・膝痛、肩こり、五十肩など）、神経痛、手足のしびれ
ユースゲンキング,"滋養強壮。
肉体疲労・食欲不振・病中病後・発熱性消耗性疾患・栄養障害・妊娠授乳期などの場合の栄養補給"
パパーゼリー５,幼児の発育期・小児の発育期・偏食児・病中病後・食欲不振・栄養障害・発熱性消耗性疾患などの場合の栄養補
パパーゼリー５《パウチ》,幼児の発育期・小児の発育期・偏食児・病中病後・食欲不振・栄養障害・発熱性消耗性疾患などの場合の栄養補
鹿茸活腎精錠,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
春寿,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
サンリキソドリンクＪⅡ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
イキライフＤ３０００,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
Ｊサンリキ３０００,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
ファイトゴールド内服液,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
ボディーＶ３０００Ｚ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
新トップギアＤ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
サンリキソライト,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
蔘黄内服液Ｎゴールド,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
延寿内服液,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
サンリキソＺ３０００Ⅱ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
ファイトＧＯ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
ファイトタイムＶ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
エブリＳＤ３０００Ｚ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
イキプレミアム,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
ダイワリバイスＤゴールド,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
トップギアゴールドⅡ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
ファイトＤＸ３０００Ⅱ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
